,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Port Wine Cocktail,Port,2 1/2 oz ,Brandy,1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Waikiki Beachcomber,Triple sec,3/4 oz ,Gin,3/4 oz ,Pineapple juice,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Alice Cocktail,Grenadine,1 cl ,Orange juice,1 cl ,Pineapple juice,2 cl ,Cream,4 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,
24k nightmare,Goldschlager,1/2 oz ,Jägermeister,1/2 oz ,Rumple Minze,1/2 oz ,151 proof rum,1/2 oz Bacardi ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Long Island Tea,Vodka,1/2 oz ,Light rum,1/2 oz ,Gin,1/2 oz ,Tequila,1/2 oz ,Lemon,Juice of 1/2 ,Coca-Cola,1 splash ,, ,, ,, ,, ,, ,,,,,,,,
Porto flip,Brandy,3 parts,Port,9 parts,Egg Yolk,2 parts,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Bleeding Surgeon,Dark rum,1 shot ,Orange,1 slice ,Surge,1/2 glass ,Cranberry juice,1/2 glass ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Alexander,Gin,1/2 oz ,Creme de Cacao,1/2 oz white ,Light cream,2 oz ,Nutmeg,,,,,,,,,,,,,,,,,,,,,,,
Turf Cocktail,Dry Vermouth,1 oz ,Gin,1 oz ,Anis,1/4 tsp ,Bitters,2 dashes ,Orange peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,,,
Citrus Coke,Bacardi Limon,1 part ,Coca-Cola,2 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Bijou,Orange Bitters,1 dash,Green Chartreuse,1 oz,Gin,1 oz,Sweet Vermouth,1 oz,,,,,,,,,,,,,,,,,,,,,,
Spiced Peach Punch,Peach nectar,46 oz ,Orange juice,20 oz ,Brown sugar,1/2 cup ,Cinnamon,3 3-inch ,Cloves,1/2 tsp ,Lime juice,2 tblsp ,, ,, ,, ,, ,, ,,,,,,,,
Cherry Rum,Light rum,1 1/4 oz ,Cherry brandy,1 1/2 tsp ,Light cream,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Shark Attack,Lemonade,1 can ,Water,3 cans ,Vodka,1 1/2 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Texas Rattlesnake,Yukon Jack,1 part ,Cherry brandy,1/2 part ,Southern Comfort,1 part ,Sweet and sour,1 splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Jam Donut,Baileys irish cream,2/3 oz,Chambord raspberry liqueur,1/3 oz,Sugar syrup,1 tsp,Sugar,2 pinches,,,,,,,,,,,,,,,,,,,,,,
Grim Reaper,Kahlua,1 oz ,151 proof rum,1 oz Bacardi ,Grenadine,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Herbal flame,Hot Damn,5 shots ,Tea,very sweet ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Cuba Libre,Light rum,2 oz ,Lime,Juice of 1/2 ,Coca-Cola,,,,,,,,,,,,,,,,,,,,,,,,,
Amaretto Stone Sour #3,Sour mix,2 oz ,Amaretto,2 oz ,Tequila,2 oz ,Orange juice,Add splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
After Five,Peppermint schnapps,"
",Kahlua,"
",Bailey's irish cream,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
California Lemonade,Blended whiskey,2 oz ,Lemon,Juice of 1 ,Lime,Juice of 1 ,Powdered sugar,1 tblsp ,Grenadine,1/4 tsp ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
A1,Gin,1 3/4 shot ,Grand Marnier,1 Shot ,Lemon Juice,1/4 Shot,Grenadine,1/8 Shot,,"
",,"
",,"
",,,,,,,,,,,,,,,,
Strawberry Shivers,Strawberries,1 1/2 cup ,Honey,4 tsp ,Water,1/2 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Karsk,Coffee,1 part ,Grain alcohol,2 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Mojito #3,Mint,1/2 handful ,Lemon juice,3 cl ,Dark rum,1/8 L Jamaican ,Club soda,1/8 L ,Angostura bitters,8 drops ,, ,, ,, ,, ,, ,,,,,,,,,,
Havana Cocktail,Light rum,1 oz ,Pineapple juice,1 oz ,Lemon juice,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Gin Smash,Gin,2 oz ,Carbonated water,1 oz ,Sugar,1 cube ,Mint,4 ,Orange,1 slice ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
Banana Strawberry Shake Daiquiri-type,Strawberries,1/2 lb frozen ,Banana,1 frozen ,Apple juice,2 cups fresh ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Martini,Gin,1 2/3 oz ,Dry Vermouth,1/3 oz ,Olive,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Arizona Twister,Vodka,1 shot ,Malibu rum,1 shot ,Gold tequila,1 shot ,Orange juice,1 splash ,Pineapple juice,1 splash ,Cream of coconut,1 splash ,Grenadine,1 dash ,Ice,crushed ,Pineapple,1 wedge ,, ,, ,, ,, ,, ,,
Bombay Cassis,Gin,50 ml,Creme de Cassis,20 ml,Fresh Lime Juice,15 ml,Ginger beer,75 ml,Lime,1,Ginger,1 long strip,,,,,,,,,,,,,,,,,,
Mai Tai,Light rum,1 oz ,Orgeat syrup,1/2 oz ,Triple sec,1/2 oz ,Sweet and sour,1 1/2 oz ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
Amaretto Mist,Amaretto,1 1/2 oz ,Lime,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Scottish Highland Liqueur,Johnnie Walker,1 fifth ,Honey,1 1/2 cup mild ,Angelica root,2 tsp dried and chopped ,Fennel seeds,1/4 tsp crushed ,Lemon peel,2 2 inch strips ,, ,, ,, ,, ,, ,,,,,,,,,,
Grand Blue,Malibu rum,1 1/2 cl ,Peach schnapps,1 1/2 cl ,Blue Curacao,1 1/2 cl ,Sweet and sour,3 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Kioki Coffee,Kahlua,1 oz ,Brandy,1/2 oz ,Coffee,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Damned if you do,Whiskey,0.75 oz ,Hot Damn,0.25 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Iced Coffee Fillip,Kahlua,2 tsp ,Coffee,Strong cold ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Butter Baby,Vanilla Ice-Cream,2 scoops ,Butterscotch schnapps,1 part ,Milk,full glass ,Vodka,2 parts ,,"
",,"
",,"
",,,,,,,,,,,,,,,,
Bellini,Champagne,6 oz ,Peach schnapps,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Jack's Vanilla Coke,Ice,4-5 ,Tennessee whiskey,2 oz ,Vanilla extract,1 tsp ,Coca-Cola,10-12 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Mary Pickford,Light rum,1 1/2 oz ,Pineapple juice,1 oz ,Maraschino liqueur,1/2 tsp ,Grenadine,1/2 tsp ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
Flaming Lamborghini,Kahlua,1 oz ,Sambuca,1 oz ,Blue Curacao,1 oz ,Bailey's irish cream,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Thriller,Scotch,1 1/2 oz ,Wine,1 oz Green Ginger ,Orange juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Moranguito,Absinthe,2/5 ,Tequila,2/5 ,Grenadine,1/5 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
ABC,Amaretto,1/3 ,Bailey's irish cream,1/3 ,Cognac,1/3 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Orangeade,Lemon juice,5 cl ,Orange juice,15 cl ,Sugar syrup,2-3 cl ,Soda water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
Adonis Cocktail,Sweet Vermouth,3/4 oz ,Sherry,1 1/2 oz dry ,Orange bitters,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Coffee Liqueur,Coffee,10 tblsp instant ,Vanilla extract,4 tblsp ,Sugar,2 1/2 cups ,Vodka,1 qt ,Water,2 1/2 cups ,, ,, ,, ,, ,, ,,,,,,,,,,
Atlantic Sun,Vodka,2 cl Smirnoff ,Southern Comfort,2 cl ,Passion fruit syrup,2 cl ,Sweet and sour,6 cl ,Club soda,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,
Quarter Deck Cocktail,Light rum,1 1/2 ,Sherry,1/3 oz cream ,Lime,Juice of 1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Zambeer,Sambuca,1 1/2 oz ,Root beer,Add 10 oz ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Rose,Dry Vermouth,1/2 oz ,Gin,1 oz ,Apricot brandy,1/2 oz ,Lemon juice,1/2 tsp ,Grenadine,1 tsp ,Powdered sugar,,,,,,,,,,,,,,,,,,,
Arizona Antifreeze,Vodka,1/3 oz ,Midori melon liqueur,1/3 oz ,Sweet and sour,1/3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Mimosa,Champagne,Chilled ,Orange juice,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Negroni,Gin,1 oz ,Campari,1 oz ,Sweet Vermouth,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Holloween Punch,Grape juice,"
",Carbonated soft drink,", orange
",Sherbet, ,Sherbet, ,, ,, ,, ,,,,,,,,,,,,,,,,
A Night In Old Mandalay,Light rum,1 oz ,Añejo rum,1 oz ,Orange juice,1 oz ,Lemon juice,1/2 oz ,Ginger ale,3 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,
Amaretto Stinger,Amaretto,1 1/2 oz ,White Creme de Menthe,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Whisky Mac,Scotch,1 1/2 oz ,Wine,1 oz Green Ginger ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Lady Love Fizz,Gin,2 oz ,Light cream,2 tsp ,Powdered sugar,1 tsp ,Lemon,Juice of 1/2 ,Egg white,1 ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
Royal Flush,Crown Royal,1 1/2 oz ,Peach schnapps,1 oz ,Chambord raspberry liqueur,1/2 oz ,Cranberry juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Irish Russian,Vodka,1 shot ,Kahlua,1 shot ,Coca-Cola,1 dash ,Guinness stout,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Corpse Reviver #2,Gin,3/4 oz,Triple Sec,3/4 oz,Lillet Blanc,3/4 oz,Lemon Juice,3/4 oz,Absinthe,1 dash,,,,,,,,,,,,,,,,,,,,
Algonquin,Blended whiskey,1 1/2 oz ,Dry Vermouth,1 oz ,Pineapple juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Victor,Gin,1 1/2 oz ,Sweet Vermouth,1/2 oz ,Brandy,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
1-900-FUK-MEUP,Absolut Kurant,1/2 oz ,Grand Marnier,1/4 oz ,Chambord raspberry liqueur,1/4 oz ,Midori melon liqueur,1/4 oz ,Malibu rum,1/4 oz ,Amaretto,1/4 oz ,Cranberry juice,1/2 oz ,Pineapple juice,1/4 oz ,, ,, ,, ,, ,, ,,,,
A Piece of Ass,Amaretto,1 shot ,Southern Comfort,1 shot ,Ice," cubes
",Sour mix,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
Rum Cooler,Rum,2 oz light or dark ,Lemon-lime soda,4 oz ,Lemon,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Americano,Campari,1 oz ,Sweet Vermouth,1 oz red ,Lemon peel,Twist of ,Orange peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Russian Spring Punch,Vodka,2.5 cl,Creme de Cassis,1.5 cl,Sugar Syrup,1 cl,Lemon Juice,2.5 cl,,,, ,, ,,,,,,,,,,,,,,,,
Tennesee Mud,Coffee,8 oz ,Jack Daniels,4 oz ,Amaretto,4 oz ,Whipped cream,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
Espresso Martini,Vodka,5 cl,Kahlua,1 cl,Sugar syrup,1 dash,,,,,,,,,,,,,,,,,,,,,,,,
Amaretto Tea,Tea,6 oz hot ,Amaretto,2 oz ,Whipped cream,Chilled ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Snake Bite (UK),Lager,1/2 pint ,Cider,1/2 pint sweet or dry ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Daiquiri,Light rum,1 1/2 oz ,Lime,Juice of 1/2 ,Powdered sugar,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Kentucky B And B,Bourbon,2 oz ,Benedictine,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Microwave Hot Cocoa,Sugar,5 tblsp ,Cocoa powder,3 tblsp ,Salt,1 dash ,Water,3 tblsp hot ,Milk,2 cups ,Vanilla extract,1/4 tsp ,, ,, ,, ,, ,, ,,,,,,,,
Kiss me Quick,Cranberry vodka,4 cl ,Apfelkorn,2 cl ,Schweppes Russchian,7 cl ,Apple juice,8 cl ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
Space Odyssey,151 proof rum,1 shot Bacardi ,Malibu rum,1 shot ,Pineapple juice,1 shot ,Orange juice,"
",Grenadine,"
",Cherries, ,, ,, ,, ,, ,,,,,,,,,,
Banana Strawberry Shake,Strawberries,1/2 lb frozen ,Banana,1 frozen ,Yoghurt,1 cup plain ,Milk,1 cup ,Honey," to taste
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
Apple Pie with A Crust,Apple juice,3 parts ,Malibu rum,1 part ,Cinnamon,3 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Jelly Bean,Blackberry brandy,1 oz ,Anis,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Salty Dog,Grapefruit juice,5 oz ,Gin,1 1/2 oz ,Salt,1/4 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
English Highball,Brandy,3/4 oz ,Gin,3/4 oz ,Sweet Vermouth,3/4 oz ,Carbonated water,"
",Lemon peel,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
Freddy Kruger,Jägermeister,1/2 oz ,Sambuca,1/2 oz ,Vodka,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Imperial Fizz,Light rum,1/2 oz ,Blended whiskey,1 1/2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
A Splash of Nash,Cranberry juice,2 oz ,Soda water,2 oz ,Midori melon liqueur,0.5 oz ,Creme de Banane,0.5 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Pineapple Gingerale Smoothie,Ginger,1/4 inch ,Pineapple,1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Royal Bitch,Frangelico,1 part ,Crown Royal,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Darkwood Sling,Cherry Heering,1 part ,Soda water,1 part ,Orange juice,1 part ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
Red Snapper,Crown Royal,1 shot ,Amaretto,1 shot ,Cranberry juice,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Limeade,Lime,Juice of 1 ,Sugar,1 tblsp ,Soda water," (seltzer water)
",Lime peel, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Tequila Sunrise,Tequila,2 measures ,Orange juice,,Grenadine,,,,,,,,,,,,,,,,,,,,,,,,,
Sidecar Cocktail,Brandy,1 oz ,Triple sec,1/2 oz ,Lemon,Juice of 1/4 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Brandy Cobbler,Sugar,1 tsp superfine ,Club soda,3 oz ,Lemon,1 ,Brandy,2 oz ,Maraschino cherry,1 ,Orange,1 ,, ,, ,, ,, ,, ,,,,,,,,
Queen Charlotte,Red wine,2 oz ,Grenadine,1 oz ,Lemon-lime soda,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Chocolate Drink,Chocolate,125 gr,Milk,3/4 L ,Water,,,,,,,,,,,,,,,,,,,,,,,,,
Bacardi Cocktail,Light rum,1 3/4 oz Bacardi ,Lime juice,1 oz ,Sugar syrup,1/2 tsp ,Grenadine,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
B-53,Kahlua,1/3 shot ,Sambuca,1/3 shot ,Grand Marnier,1/3 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
B-52,Bailey's irish cream,1/3 ,Grand Marnier,1/3 ,Kahlua,1/4 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Valencia Cocktail,Apricot brandy,1 1/2 oz ,Orange juice,1 tblsp ,Orange bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Atomic Lokade,Lemonade,5 oz ,Vodka,1 oz ,Blue Curacao,1/2 oz ,Triple sec,1/2 oz ,Sugar,"
",Ice, ,, ,, ,, ,, ,,,,,,,,,,
Absinthe #2,Vodka,1 bottle ,Sugar,50 gr ,Anise,50 ml pure ,Licorice root,1 tblsp ,Wormwood,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
Surf City Lifesaver,Ouzo,1 part ,Bailey's irish cream,1 part ,Gin,2 parts ,Grand Marnier,1/2 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,
AT&amp;T;,Absolut Vodka,1 oz ,Gin,1 oz ,Tonic water,4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Queen Elizabeth,Dry Vermouth,1/2 oz ,Gin,1 1/2 oz ,Benedictine,1 1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Army special,Vodka,30 ml ,Gin,30 ml ,Lime juice cordial,45 ml ,Ice,1/2 glass crushed ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Turkeyball,Wild Turkey,1 oz ,Amaretto,3/4 oz ,Pineapple juice,1 splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Absolut Sex,Absolut Kurant,3/4 oz ,Midori melon liqueur,3/4 oz ,Cranberry juice,1 oz ,Sprite,1 splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Allegheny,Dry Vermouth,1 oz ,Bourbon,1 oz ,Blackberry brandy,1 1/2 tsp ,Lemon juice,1 1/2 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,
Sangria - The World's Best,Red wine,1 1/2 L ,Sugar,1 cup ,Lemon,1 large ,Orange,1 large ,Apple,1 large ,Brandy,3-4 oz plain ,Soda water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,
French Martini,Vodka,4.5 cl,Raspberry Liqueur,1.5 cl,pineapple juice,1.5 cl,,,,,,,,,,,,,,,,,,,,,,,,
Empellón Cocina's Fat-Washed Mezcal,Mezcal,2 oz,Chocolate liqueur,3/4 oz,Coffee liqueur,1/2 oz,,,,,,,,,,,,,,,,,,,,,,,,
Hot Chocolate to Die for,Chocolate,12 oz fine ,Butter,1 tsp ,Vanilla extract,1/2 tsp ,Half-and-half,1 cup ,Marshmallows,mini ,, ,, ,, ,, ,, ,,,,,,,,,,
Avalanche,Crown Royal,1 shot ,Kahlua,1 shot ,Cream,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Rum Cobbler,Sugar,1 tsp superfine ,Club soda,3 oz ,Lemon,1 ,Dark rum,2 oz ,Maraschino cherry,1 ,Orange,1 ,, ,, ,, ,, ,, ,,,,,,,,
Amaretto Liqueur,Sugar,1 cup,Water,3/4 cup ,Apricot,2 ,Almond flavoring,1 tblsp ,Grain alcohol,1/2 cup pure ,Water,1/2 cup ,Brandy,1 cup ,Food coloring,3 drops yellow ,Food coloring,6 drops red ,Food coloring,2 drops blue ,Glycerine,1/2 tsp ,, ,, ,, ,, 
French Connection,Cognac,1 1/2 oz ,Amaretto,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
A True Amaretto Sour,Amaretto,1 jigger ,Lemon,Juice of 1/2 ,Ice,"
",Maraschino cherry, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Limona Corona,Corona,1 bottle ,Bacardi Limon,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
White Lady,Gin,4cl,Triple Sec,3cl,Lemon Juice,2cl,,,, ,, ,, ,, ,, ,,,,,,,,,,,,
A Gilligan's Island,Vodka,1 oz ,Peach schnapps,1 oz ,Orange juice,3 oz ,Cranberry juice,3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Yellow Bird,White Rum,3 cl,Galliano,1.5 cl,Triple Sec,1.5 cl,Lime Juice,1.5 cl,, ,, ,, ,, ,, ,,,,,,,,,,,,
Tomato Tang,Tomato juice,2 cups ,Lemon juice,1-2 tblsp ,Celery salt,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Cosmopolitan Martini,Cointreau,1/2 oz ,Vodka,1 oz ,Lime,Juice of 1/2 ,Cranberry juice,1 splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Baby Guinness,Kahlua,2 1/2 oz ,Bailey's irish cream,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Amaretto Sweet &amp; Sour,Amaretto,"
",Sweet and sour,"
",Midori melon liqueur, ,Pineapple juice, ,, ,, ,, ,,,,,,,,,,,,,,,,
Dirty Martini,Vodka,70ml/2fl oz,Dry Vermouth,1 tbsp,Olive Brine,2 tbsp,Lemon,1 wedge,Olive,1,,,,,,,,,,,,,,,,,,,,
Amaretto Rose,Amaretto,1 1/2 oz ,Lime juice,1/2 oz ,Club soda,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
A Furlong Too Late,Light rum,2 oz ,Ginger beer,4 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Vesper,Gin,6 cl,Vodka,1.5 cl,Lillet Blanc,0.75 cl,,,,,, ,, ,,,,,,,,,,,,,,,,
Duchamp's Punch,Pisco,5 cl,Lime Juice,2.5 cl,Pineapple Syrup,2.5 cl,St. Germain,1.5 cl,Angostura Bitters,2 Dashes,Pepper,Pinch,Lavender,2 sprigs,,,,,,,,,,,,,,,,
Banana Daiquiri,Light rum,1 1/2 oz ,Triple sec,1 tblsp ,Banana,1 ,Lime juice,1 1/2 oz ,Sugar,1 tsp ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
Gin Sling,Gin,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Water,1 tsp ,Orange peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,,,
Port Wine Flip,Port,1 1/2 oz ,Light cream,2 tsp ,Powdered sugar,1 tsp ,Egg,1 whole ,Nutmeg,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
Adam &amp; Eve,Gin,1 shot ,Cognac,1 shot ,Creme de Cassis,1 shot ,Fresh Lemon Juice,1/8 shot ,,,,,,,,,,,,,,,,,,,,,,
Addison Special,Vodka,1 shot ,Grenadine,1 tblsp ,Orange juice,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Adam Sunrise,Vodka,1/2 ,Lemonade,1/2 can ,Water,1/2 ,Sugar,10 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Abbey Cocktail,Gin,1 1/2 oz ,Orange bitters,1 dash ,Orange,Juice of 1/4 ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Salted Toffee Martini,Gin,50 ml ,Chocolate liqueur,30 ml ,Amaretto,15 ml,Chocolate Sauce,Garnish,Salted Chocolate,"Grated
",,"
",,"
",,,,,,,,,,,,,,,,
Vermouth Cassis,Dry Vermouth,1 1/2 oz ,Creme de Cassis,3/4 oz ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Bluebird,Gin,1 1/2 oz ,Triple sec,1/2 oz ,Blue Curacao,1/2 oz ,Bitters,2 dashes ,Maraschino cherry,1 ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,
Cream Soda,Spiced rum,1 oz ,Ginger ale,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
Bourbon Sling,Sugar,1 tsp superfine ,Water,2 tsp ,Lemon juice,1 oz ,Bourbon,2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,
Oatmeal Cookie,Kahlua,2 parts,Bailey,2 parts,Butterscotch schnapps,4 parts,Jagermeister,1 part,Goldschlager,1/2 part,,,,,,,,,,,,,,,,,,,,
Drinking Chocolate,Heavy cream,2 oz ,Milk,6-8 oz ,Cinnamon,1 stick ,Vanilla,1 ,Chocolate,2 oz finely chopped dark ,Whipped cream,Fresh ,, ,, ,, ,, ,, ,,,,,,,,
Orange Push-up,Spiced rum,1.5 oz ,Grenadine,0.5 oz ,Orange juice,4 oz ,Sour mix,1 splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Melya,Espresso,"
",Honey,Unsweetened ,Cocoa powder, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Sex on the Beach,Vodka,1 oz ,Peach schnapps,3/4 oz ,Cranberry juice,,Grapefruit juice, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Bumble Bee #1,Bailey's irish cream,1/3 oz ,Kahlua,1/3 oz ,Sambuca,1/3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Zinger,Peachtree schnapps,4 shots ,Surge,4 shots ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Absolut Stress #2,Absolut Vodka,1 1/2 oz ,Peach schnapps,1/2 oz ,Coconut liqueur,1/2 oz ,Cranberry juice,1 1/2 oz ,Pineapple juice,1 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,
Grizzly Bear,Amaretto,1 part ,Jägermeister,1 part ,Kahlua,1 part ,Milk,2 1/2 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Godmother,Vodka,1 1/2 oz ,Amaretto,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Nutty Irishman,Bailey's irish cream,1 part ,Frangelico,1 part ,Milk,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Just a Moonmint,Milk,2 cups ,Chocolate syrup,"
",Mint syrup,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Blue Margarita,Tequila,1 1/2 oz ,Blue Curacao,1 oz ,Lime juice,1 oz ,Salt,Coarse ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Ruby Tuesday,Gin,2 oz ,Cranberry juice,5 oz ,Grenadine,2 splashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Boomerang,Gin,2 oz ,Dry Vermouth,1/2 oz ,Bitters,2 dashes ,Maraschino liqueur,1/2 tsp ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
