,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Masala Chai,Water,2 cups ,Tea,3-4 tsp ,Ginger,1 chunk dried ,Cardamom,3-4 crushed ,Cloves,3 ,Cinnamon,1 piece ,Black pepper,1-2 whole ,Sugar," to taste
",Milk, ,, ,, ,, ,, ,,,,
Miami Vice,151 proof rum,5 oz Bacardi ,Pina colada mix,frozen ,Daiquiri mix,frozen ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Snakebite and Black,Lager,1/2 pint ,Cider,1/2 pint ,Blackcurrant squash,A little bit of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Godfather,Scotch,1 1/2 oz ,Amaretto,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Champagne Cocktail,Champagne,Chilled ,Sugar,1 piece ,Bitters,2 dashes ,Lemon peel,1 twist of ,Cognac,1 dash,, ,, ,, ,, ,,,,,,,,,,,,
Scotch Sour,Scotch,1 1/2 oz ,Lime,Juice of 1/2 ,Powdered sugar,1/2 tsp ,Lemon,1/2 slice ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
Affinity,Scotch,1 1/2 oz ,Sweet Vermouth,1 oz ,Dry Vermouth,1 oz ,Orange bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Japanese Fizz,Blended whiskey,1 1/2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Port,1 tblsp ,Egg white,1 ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
Bob Marley,Midori melon liqueur,1/2 oz ,Jägermeister,1/2 oz ,Goldschlager,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Swedish Coffee,Coffee,1 cup,Aquavit,4 cl ,Sugar,By taste ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Fruit Shake,Yoghurt,1 cup fruit ,Banana,1 ,Orange juice,4 oz frozen ,Fruit,1/2 piece textural ,Ice,6 ,, ,, ,, ,, ,, ,,,,,,,,,,
Golden dream,Galliano,2 parts,Triple Sec,2 parts,orange juice,2 parts,Cream,1 part,, ,, ,, ,, ,, ,,,,,,,,,,,,
69 Special,Gin,2 oz dry ,7-Up,4 oz ,Lemon juice,0.75 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Singapore Sling,Cherry brandy,1/2 oz ,Grenadine,1/2 oz ,Gin,1 oz ,Sweet and sour,2 oz ,Carbonated water,,Cherry,,,,,,,,,,,,,,,,,,,
