,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Bobby Burns,1 ounce Scotch whiskey,1/2 ounce sweet vermouth,1/2 ounce dry vermouth,Dash Benedictine,3 or 4 ice cubes,,,,,,,,,
Sweet Amigos,"1 orange wheel, halved",2 dark sweet cherries (1 pitted),2 oz Casamigos Reposado tequila,1/4 oz agave nectar,pinch of cinnamon,,,,,,,,,
Conference,1/2 ounce rittenhouse 100 rye,1/2 ounce buffalo trace bourbon,1/2 ounce calvados,1/2 ounce hine h cognac,1 teaspoon demerara syrup,2 dashes angostura bitters,1 dash bittermens xocolatl mole bitters,1 lemon twist,1 orange twist,,,,,
Gin & Tonic,2 ounces gin (preferably Tanqueray),1 to 3 lime wedges,3 to 4 ounces tonic water,,,,,,,,,,,
Orange-Cardamom Spritzer,1/2 cup granulated sugar,1/2 cup water,2 teaspoons lightly crushed whole cardamom pods,"2-inch strip orange zest, removed with a vegetable peeler","1 750-ml bottle prosecco, chilled",Cardamom syrup (recipe follows),Angostura bitters,"Orange twists, for serving",,,,,,
Mother's Ruin Punch,8 white sugar cubes,2 ounces club soda,4 ounces Plymouth gin,2 ounces cinnamon orange tea-infused sweet vermouth (below),4 ounces grapefruit juice,2 ounces lemon juice,3 ounces dry champagne,Garnish: 6 grapefruit wheels,,,,,,
Saint-Florent Cocktail,1/4 cup clover honey,2 tablespoon hot water in a small jar,6 tablespoons gin,3 tablespoons fresh lime juice,2 tablespoons Aperol or Capelletti,1 tablespoon honey syrup,2 dashes of Angostura bitters,Ice,Champagne or sparkling wine,Lime wheel for garnish,,,,
Celery Tonic,1 chopped celery stalk,1 tablespoon sugar,1 ounce fresh lemon juice,2 ounces gin,Ice,Lemon twist (garnish),,,,,,,,
Trouble in Paradise,2 tablespoons honey,"2 basil sprig, plus 1 for garnish",1 ounce bourbon,1 ounce Campari,3/4 ounce grapefruit juice,3/4 ounce lemon juice,1/2 ounce honey syrup,2 grinds of black pepper,,,,,,
Blackberry and Ginger Cocktail,1/2 pint blackberries,8 mint sprigs,1 1/2 cups vodka,1 cup fresh lime juice,3 12-ounce cans or bottles ginger beer,Ice,Mint garnish,,,,,,,
Blackberry Summer Smash,"6 fresh basil leaves, plus a sprig for garnish","11 blackberries, divided",1 tablespoon fresh lemon juice,Ice cubes,"1/4 cup ginger beer, chilled",2 tablespoons bourbon (optional),,,,,,,,
Pineapple and Gin,"3 cups pineapple pieces, frozen",6 ounces gin,2 ounces simple syrup,1 ounce fresh lime juice,1 ounce pineapple juice,2 cups ice,Optional garnish: Pineapple wedges and mint sprigs,,,,,,,
"Peach, Ginger, and Bourbon","3 cups sliced peeled peaches, frozen",2 tablespoons finely grated peeled ginger,6 ounces bourbon,3 ounces simple syrup,2 ounces fresh lemon juice,2 cups ice,Optional garnish: Sage sprigs,,,,,,,
"Watermelon, Lime, and Tequila","3 1/2 cups watermelon pieces, frozen","1/2""-thick jalapeño slice, with seeds",6 ounces tequila blanco,4 ounces simple syrup,2 ounces fresh lime juice,3 cups ice,Optional garnish: Watermelon wedges and sliced jalapeños,,,,,,,
Strawberries and Vodka,"3 cups halved hulled strawberries, frozen",6 ounces vodka,4 ounces simple syrup + 1 1/2 ounces,fresh lime juice,2 cups ice,Optional garnish: Tarragon sprigs,,,,,,,,
Berries and Rum,"2 cups blackberries, frozen","1 1/2 cups raspberries, frozen",6 ounces light rum,4 ounces simple syrup,1 1/2 ounces fresh lime juice,2 cups ice,Optional garnish: Blackberries,,,,,,,
Sriracha-Lada,1 ounce fresh lime juice,2 teaspoons Sriracha,1/2 teaspoon Worcestershire sauce,Mexican lager (such as Pacifico),Lime wheel garnish,salt rimmed pint glass,,,,,,,,
Raspberry Snakebite,1 ounce crème de cassis,raspberry lambic beer (such as Lindemans Framboise),Mint sprig garnish,,,,,,,,,,,
Vitamin C Brew,2 ounces fresh orange juice,1 ounce gin,American style lager (such as Miller High Life),Orange wheel garnish,,,,,,,,,,
Aperol Mist,1 ounce Aperol,1 ounce fresh lemon juice,Hefeweizenstyle Belgian beer (such as Hoegaarden),Lemon twist,,,,,,,,,,
Grilled Bloody Mary,"2 pounds red tomatoes, halved","2 lemons, halved","7 small-to-medium celery stalks, preferably with leaves",1 1/2 tablespoons Worcestershire sauce,1 1/2 teaspoons freshly grated horseradish,1 1/2 teaspoons sugar,"1 1/2 teaspoons kosher salt, plus more, for seasoning","1/2 teaspoon freshly ground black pepper, plus more, for seasoning",8 ounces (1 cup) vodka,"Tabasco sauce or Sriracha, for serving",,,,
Grilled Lemon Shandy,"6 lemons, halved plus 1 lemon, sliced into 6 rounds",1/2 cup simple syrup (see Note),1 3/4 cups ice water,Six 12-ounce pilsners,,,,,,,,,,
Extra-Stormy Dark and Stormy,2 ounces Lemon-Ginger Brew,2 ounces dark rum,Club soda,Lime wedge,Candied ginger,,,,,,,,,
The Elvis,3 ounces fresh pink grapefruit juice,1 1/2 ounces London dry gin,1/4 ounce St-Germain (elderflower liqueur),India Pale Ale (for serving),Grapefruit twist (for serving),,,,,,,,,
Past Derby Winner,"3 fresh mint leaves, plus more for garnish","10 drops Meyer lemon bitters, such as Brooklyn Hemispherical*",3/4 ounce freshly squeezed lemon juice,1/2 ounce mint simple syrup,1 ounce Rok Hill Farms Bourbon or Blanton's,Sparkling wine such as Prosecco,,,,,,,,
Roman Holiday Cocktail,"8 mint leaves, plus sprig for serving",1/2 ounces simple syrup,1 ounce Averna Amaro Siciliano,1 ounce Italian sweet vermouth (such as Carpano Antica Formula),3/4 ounces fresh lemon juice,Lemon wedge (for serving),,,,,,,,
The Byrrh Special,1 1/2 ounces Byrrh,1 1/2 ounces London dry gin,Lemon twist (for serving),,,,,,,,,,,
Blackberry Moonshine,"3/4 ounce unaged white whiskey (e.g., moonshine)",1/4 ounce blackberry liqueur,1/4 ounce blackberry puree (or muddle one blackberry with a splash of simple syrup),Juice from 1 lemon wedge,,,,,,,,,,
Irish Flag,Bottom: Green crème de menthe,Middle: Licor 43,Top: Baileys Irish Cream,,,,,,,,,,,
Chipotle Sangrita,1 cup tomato juice,1 teaspoon chipotle puree in adobo sauce,Juice from 1 lemon wedge,1 1/2-ounce chilled shot of reposado tequila,,,,,,,,,,
Fighting Irish,"3/4 ounce 12-year-old Irish whiskey, such as Redbreast","3/4 ounce 12-year-old single-malt Scotch whisky, such as Bowmore",3/4 ounce Green Chartreuse,3/4 ounce freshly squeezed lemon juice,3/4 ounce fresh pineapple juice,1/2 ounce orgeat syrup*,"5 dashes habanero bitters, such as Bittermens",Freshly grated nutmeg for garnish,"*Orgeat is a sweet syrup made from almonds, sugar, and orange-flower or rose water. Fee Brothers and Torani orgeat syrups are available on Amazon.",,,,,
Bloody Hell Bloody Mary,2 tablespoons Worcestershire sauce,2 tablespoons freshly squeezed lemon juice,1 teaspoon prepared horseradish,"1/2 teaspoon hot sauce, such as Tabasco brand",1/4 teaspoon celery seed,1/4 teaspoon ground coriander,1/4 teaspoon freshly ground black pepper,1/4 teaspoon salt,2 cups (16 ounces) tomato juice,"1/2-3/4 cup (4-6 ounces) bacon flavored vodka, or substitute plain","2 tablespoons Bacon Salt, such as J&D's brand",Lime wedges,Bacon Twists for garnish,
Orange Mint Julep,Zest from 1 orange (removed in strips with a vegetable peeler),1/2 cup sugar,"1/2 orange, cut into 4 pieces",1 bunch mint,Orange bitters,8 ounces bourbon,,,,,,,,
Herbed Feta Dip,6 ounces feta,1/2 cup finely chopped fresh flat-leaf parsley,1/4 cup finely chopped fresh mint,"2 tablespoons finely chopped fresh dill, plus torn sprigs for serving",Kosher salt and freshly ground black pepper,Olive oil,,,,,,,,
Spicy Spiked Hot Chocolate,2 cups whole milk,1 cup heavy cream,1/3 cup sugar,"1/2 ancho chile, lightly crushed",1 cinnamon stick,"1/2 vanilla bean, split lengthwise","3 ounces bittersweet chocolate (at least 70% cacao), chopped","2 ounces Xtabentún, Pernod, or other anise-flavored liqueur",,,,,,
Nacho Vidal,"2 limes, halved",3/4 cup apple cider vinegar,3/4 cup sugar,2 tablespoons honey,1 1/2 teaspoon crushed red pepper flakes,2 cups tequila blanco,1 1/2 cups Campari,3/4 cup fresh lemon juice,3/4 cup fresh lime juice,8 lime wedges (for serving),,,,
Red Red Red,8 ounces cooked beets*,"1 Granny Smith apple, peeled, cored, and cut into 1-inch chunks",1 cup granulated sugar,1 1/4 cups water,3/4 cup apple cider vinegar,6 star anise pods,2 teaspoons whole allspice berries,"1 (750-milliliter) bottle prosecco, chilled","*Use homemade roasted beets or store-bought vacuum-sealed beets. Avoid canned beets, which are too soft and waterlogged to use in cocktails.",,,,,
Hot Toddy,6 tablespoons honey,"8 ounces bourbon, rye whiskey, or dark rum",24 ounces boiling water,4 lemon slices,,,,,,,,,,
"Rompope (Mexican Milk, Egg, Spice, and Liquor Punch)",2/3 cup blanched almonds,"1 1/2 cups plus 2 tablespoons granulated sugar, divided",6 cups whole milk,2 cinnamon sticks,Rind of 1 lemon*,1 teaspoon pure vanilla extract,1/4 teaspoon baking soda,8 large egg yolks,1 cup white rum or aguardiente**,"*Remove the lemon rind with a vegetable peeler, being careful to avoid the white pith, which will impart a bitter flavor.","**Aguardiente literally means ""burning water"" in Spanish. It is a strong (29% or higher) spirit distilled from fruits, grains, and commonly sugarcane. It's available at most liquor stores.",,,
Sage Brown Derby,2 ounces rye whiskey,1 ounce fresh red or pink grapefruit juice,1/2 ounce fresh lime juice,1/4 ounce agave syrup (nectar),2 dashes bitters,1 fresh sage leaf,,,,,,,,
Sustina Sour,1/4 cup clover honey,3 ounces fresh lemon juice,3 ounces Grand Marnier or other orange liqueur,3 ounces slivovitz or other plum brandy,2 ounces gin,4 maraschino cherries,4 small sprigs rosemary,,,,,,,
Tamarind Whiskey Sour,1/3 cup palm sugar or light brown sugar,6 ounces bourbon,4 ounces fresh lime juice,2 ounces tamarind concentrate,Orange wedges and maraschino cherries (for serving),Ingredient info: Tamarind concentrate is available at Asian markets or online.,,,,,,,,
New York Sour,1 large egg white,4 ounces rye whiskey,1 1/2 ounces fresh lemon juice,1 ounce simple syrup,1 ounce full-bodied red wine,,,,,,,,,
Spiced Dark and Stormy,2 teaspoons allspice berries,2 teaspoons black peppercorns,"4 1"" strips orange zest (removed with a vegetable peeler)",1 750-milliliter bottle dark rum,3 ounces fresh lime juice,1 12-ounce can ginger beer,2 lime wedges (for serving),A spice mill or mortar and pestle,,,,,,
Bran's Dram,1 bag berry herbal tea,1 1/2 ounces white rum,1/2 ounce fresh lemon juice,1 teaspoon honey,A lemon twist,,,,,,,,,
Puerto Rican Coconut Eggnog (Coquito),One 12-ounce can evaporated milk,2 large egg yolks,One 15-ounce can unsweetened coconut milk,One 14-ounce can sweetened condensed milk,1 cup white rum,1/4 teaspoon ground cinnamon,Pinch of salt,,,,,,,
Pimm's Iced Tea,ice cubes,1/3 cup Pimm's No 1,"3/4 cup brewed Orange Pekoe tea, chilled",1 1/2 teaspoons agave syrup or honey,1 1/2 tablespoons freshly squeezed lemon juice,"citrus wedges, mint sprigs, quartered strawberries and cucumber ribbons, to garnish",,,,,,,,
Cranberry Margarita,3/4 cup fresh cranberries,1/4 cup sugar,1 teaspoon finely grated orange zest,2 tablespoons fresh orange juice,1 tablespoon kosher salt,1 tablespoon sugar,1 1/2 teaspoon Chinese five-spice powder,"1 lime wedge, plus 2 ounces fresh juice",4 ounces fresh orange juice,6 ounces tequila,,,,
The New England Express,1/3 cup sugar,8 sprigs thyme,2 cups apple cider,1 1/2 cups dark rum,3/4 cup fresh lime juice,1 teaspoon Angostura bitters,Club soda,8 sprigs thyme,8 lime slices,,,,,
Ginger Fizz,"3"" piece ginger peeled, thinly sliced",1/2 cup raw or granulated sugar,2 750-milliliter bottles chilled Prosecco,8 thin clementine or orange slices,,,,,,,,,,
Dark Moon,1 1/2 cups cold-brew coffee,1/2 cup coffee liqueur,1/2 cup spiced rum,"1 12-ounce bottle Coca-Cola, preferably Mexican",1/2 cup heavy cream,,,,,,,,,
Bloody Beers,1/4 cup kosher salt,1 teaspoon crushed red pepper flakes,8 lime wedges,2 cups tomato juice,8 tablespoons fresh lime juice,Hot sauce (such as Cholula),Worcestershire sauce,8 12-ounce cans light lager,Spicy Pickled Green Beans and Fennel (optional),,,,,
Evening in Kingston,1 1/2 cups amber rum (such as Appleton Estate),1 cup Campari,1 cup sweet vermouth,1–2 750 milliliter bottles sparkling wine,"12 orange twists, if desired",,,,,,,,,
Autumn Gin Sour,2 1/4 cups London dry gin,1 cup fresh lemon juice,3/4 cup Grand Marnier,4 large egg whites,12 teaspoons orange marmalade,,,,,,,,,
"Hey Hey, My My",1 1/2 ounces Aperol,3/4 ounce fino Sherry,1 ounce fresh grapefruit juice,1/2 ounce fresh lemon juice,1/4 ounce honey simple syrup,,,,,,,,,
Cinnamon-Sugar-Cayenne Rim,2 tablespoons sugar or evaporated cane juice,1/2 teaspoon ground cinnamon,1/4 teaspoon cayenne pepper,,,,,,,,,,,
Suffering Baptist,1 1/2 ounces Balcones True Blue Cask Strength Corn Whisky,1 ounce Plymouth Sloe Gin,1 ounce freshly squeezed lime juice,Dash of Angostura bitters,2 ounces Maine Root ginger beer,"Lime wheel, for garnish",,,,,,,,
Corpse Reviver 3000,3/4 ounce Tenneyson Absinthe Royale or other blanche absinthe,3/4 ounce St-Germain elderflower liqueur,3/4 ounce orange liqueuer (we used Paula's Texas Orange; Cointreau also works well),3/4 ounce freshly squeezed lemon juice,"Orange ""coin,"" for garnish",,,,,,,,,
José's Gin & Tonic,1 lime wheel,1 strip lemon zest,1 lemon verbena leaf,3 juniper berries,1 1/2 ounces gin (preferably Hendrick's),3-4 ounces tonic water,,,,,,,,
Peach Julep,"1 1""-piece ginger, peeled, thinly sliced","1 whole cardamom pod, cracked",1/4 cup sugar,"2 ripe peaches, peeled, sliced",8 sprigs mint plus more for garnish,8 ounces bourbon,4 ounces fresh lemon juice,12 ounces ginger beer,,,,,,
Raspberry and Aperol Floats,1 sprig thyme,1/4 cup sugar,1/4 cup (or more) Aperol,1 1/3 cups raspberries (about 6 ounces),1 pint vanilla ice cream or gelato,2 12-ounce cans club soda,,,,,,,,
Kaimuki Daiquiri,1/3 cup sugar,2 cups white rum,3/4 cup fresh lime juice (from about 6 limes),6 dashes celery bitters,Basil flowers (optional; for serving),,,,,,,,,
Whiskey Collins,2 tablespoons lemon juice,1 teaspoon superfine sugar,2 ounces whiskey,3 or 4 ice cubes,Chilled club soda,Slice each of lemon and orange (optional),Maraschino cherry (optional),,,,,,,
Cucumber-Celery Margarita,Kosher salt,4 cucumber slices,2 ounces tequila,1 ounce fresh lime juice,3/4 ounce agave syrup (nectar),4 dashes of celery shrub,,,,,,,,
Spiked Strawberry Lemon Spritzer,1/2 cup honey,"8 strawberries, plus more for garnish",12 ounces vodka,Juice of 4 lemons,16 ounces sparkling water,"1 lemon, sliced",,,,,,,,
Blue Hawaiian,2 ounces pineapple juice,1 1/2 ounces vodka,3/4 ounce blue Curaçao liqueur,1/2 ounce fresh lime juice,1/2 ounce simple syrup,Splash of half-and-half,"Pineapple leaf and lime wheel, for garnish",,,,,,,
Piña Colada,2 ounces golden rum,2 ounces coconut cream,4 ounces pineapple juice,2 or 3 ice cubes,Pineapple stick,Maraschino cherry,,,,,,,,
Infinite Zest,2 ounces vodka,1 ounce limoncello,1/2 ounce lemon juice,,,,,,,,,,,
A Confederacy of Ounces,1/2 ounce anise liqueur (like Herbsaint),1 1/2 ounces rye whiskey,1 teaspoon sugar,3 dashes Peychaud's bitters,2 dashes Angostura bitters,"Lemon twist, for garnish",,,,,,,,
Mai Tai,2 ounces dark rum,1/2 ounce curaçao,1/2 ounce apricot brandy,1 1/2 tablespoons lime juice,3 or 4 ice cubes,Pineapple spear,,,,,,,,
Eureka Tiki Punch,20 ounces (2 1/2 cups) honey,20 ounces (2 1/2 cups) water,60 ounces (7 1/2 cups) light-bodied aged amber rum (such as Appleton Estate Reserve),60 ounces (7 1/2 cups) freshly squeezed lemon juice,20 ounces (2 1/2 cups) Yellow Chartreuse,8 ounces (1 cup) ice water,1 tablespoon plus 3/4 teaspoon Angostura bitters,80 ounces (10 cups) ginger ale (such as Fever-Tree),1 large ice block or several smaller blocks,"Lemon wheels, for garnish","Fresh mint sprigs, for garnish","Edible flowers, for garnish",,
Strawberry-Ginger Punch,1/3 cup sugar,"12 ounces fresh strawberries, hulled, halved or quartered if large (about 3 cups), divided","1 3"" piece ginger, peeled, thinly sliced, divided","1/2 cup (packed) fresh basil leaves, divided",1 1/2 cups brandy,3 tablespoons fresh lime juice,2 12-ounce cans club soda,,,,,,,
Sparkling Tarragon-Gin Lemonade,10 large sprigs tarragon,"2 lemons, thinly sliced",2 tablespoons sugar,3/4 cup gin,3/4 cup St-Germain (elderflower liqueur),1/3 cup fresh lemon juice,1 12-ounce can club soda,,,,,,,
Wake County Cooler,One 750-milliliter bottle vodka,2/3 cup loose-leaf black tea,1/4 cup sugar,1/2 ounce fresh lemon juice,Lemon wedge,Mint sprig,Club soda,,,,,,,
The Modern Martini,2 tablespoons sugar,1 750-milliliter bottle London dry gin,3 cups fresh cilantro leaves with tender stems,1/4 cup fresh lime juice,8 lime twists or rounds,,,,,,,,,
Matcharita,1 3/4 fl oz/50 ml Calle 23 tequila blanco,2 tsp orange curaçao,4 tsp unsalted yuzu juice,2 tsp maraschino liqueur,1/4 tsp brewed Japanese matcha tea,ice cubes,black salt & lemon slices,,,,,,,
Blackberry Mojitos,"8 fresh mint leaves, plus more for garnish",1/2 cup fresh blackberries,1 tablespoon light agave syrup,Ice cubes,1/2 cup light rum,1/4 cup fresh lime juice,Crushed ice,Lime-flavored club soda,"Lime slices, for garnish",,,,,
522 North Pinckney Cocktail,2 cups fresh pink grapefruit juice (from 2-3 grapefruits),1/2 cup St-Germain (elderflower liqueur),1/4 cup Campari,1 750-milliliter bottle chilled sparkling wine,,,,,,,,,,
Satan's Circus,2 ounces rye whiskey,3/4 ounce Heering Cherry Liqueur,3/4 ounce Chile-Infused Aperol,3/4 ounce fresh lemon juice,,,,,,,,,,
Pineapple-Mint Mojito,3/4 cup sugar,1 cup (packed) fresh mint leaves,"1/4 pineapple, peeled, cored, cut into 1"" pieces (about 1 1/2 cups)","1/4 pineapple, peeled, cored, cut into 1"" pieces (about 1 1/2 cups)","4 limes, each cut into 8 wedges, divided",1/2 cup (packed) fresh mint leaves,2 cups light rum,Club soda (for serving),,,,,,
Michelada,1 teaspoon kosher salt,1/2 teaspoon pure chile powder,"1 lime, halved",2 tablespoons fresh lime juice,1 teaspoon Worcestershire sauce,Dash of hot sauce,1 (12-ounce) chilled beer (preferably Mexican and dark),,,,,,,
El Molino,1.5 oz. Sombra Mezcal,.75 oz. Lustau Palo Cortado Sherry,.25 oz. St. Elizabeth Allspice Dram,.25 oz. Marie Brizard White Crème de Cacao,,,,,,,,,,
Pearl of Puebla,2 oz. Sombra Mezcal,.75 oz. Yellow Chartreuse,.75 oz. Lime Juice,4 sprigs Fresh Oregano,1 barspoon Ricard Pastis,1 barspoon Agave Nectar,,,,,,,,
Beer and a Smoke,1 oz. Sombra Mezcal,.75 oz. Lime Juice,1 dash The Bitter Truth Celery Bitters,4 dashes Cholula,,,,,,,,,,
Sherry Pim's Cup,"1""-thick unpeeled cucumber slice",1 tablespoon fresh lemon juice,1 teaspoon sugar,2 ounces Pimm's No. 1,1 ounce club soda,1/2 ounce Amontillado Sherry,1 cucumber spear,Mint sprigs,1 lime wedge,,,,,
The New York Sour,2 ounces rye or bourbon whiskey,1 ounce fresh lemon juice,1 ounce simple syrup,1/2 ounce fruity red wine (such as Shiraz or Malbec),,,,,,,,,,
The Vespa,1 ounce London dry gin,1 ounce vodka,1/2 ounce Cocchi Americano (Italian aperitif wine),a grapefruit twist,,,,,,,,,,
The Champagne Cocktail,1 dash The Truth Old Time Aromatic Bitters or Angostura bitters,1 sugar cube,"6"" twist from a lemon",5 ounces chilled Champagne,,,,,,,,,,
Strawberry Lemonade Smash,3 hulled strawberries,2 ounces white rum,1 ounce fresh lemon juice,1 ounce simple syrup,1 strawberry,,,,,,,,,
The Sweet Pea,"2 tablespoons fresh (or frozen, thawed) peas",1 lemon wedge,1 teaspoon sugar,2 ounces vodka,1 pea tendril (optional),,,,,,,,,
Beetnik Martini,"6 medium red beets (about 2 1/2 pounds), scrubbed, trimmed",1 750-milliliter bottle vodka,3/4 cup sugar,2 tablespoons grated peeled ginger,3 ounces fresh lemon juice,3 ounces fresh lime juice,12 lemon slices,,,,,,,
Boulevardier,2 ounces bourbon,1 ounce Campari,1 ounce sweet vermouth (preferably Antica Formula),A lemon twist,,,,,,,,,,
The Swedish Tart,1/4 cup sugar,1/4 cup coarsely chopped fresh dill,3 ounces green tea kombucha,1 1/2 ounces aquavit or vodka,1/2 ounces dill syrup,A dill sprig,,,,,,,,
Frozen Sunrise Margaritas,"Margarita or coarse sea salt, for rimming glass","1 lime wedge, for rimming glass",1/2 cup frozen orange juice concentrate,1 1/2 cups orange juice,3/4 cup (6 ounces) tequila,2 tablespoons (1 ounce) Cointreau or triple sec,2 tablespoons lime juice,3 cups crushed ice,1/4 cup grenadine,4 orange slices,4 maraschino cherries,,,
Mezcal Margarita #2,1 1/2 cups Oaxacan mezcal,2 cups Limonada,1/2 cup triple sec,50 to 60 drops (1 1/2 to 2 teaspoons) orange bitters (store-bought or homemade),6 cups ice,About 2 heaping teaspoons finely chopped orange zest (colored peel only; see Cook's Note),,,,,,,,
Black Velvet,6 ounces chilled stout,6 ounces chilled champagne,,,,,,,,,,,,
Paloma,kosher salt,1/4 cup fresh grapefruit juice,1 tablespoon fresh lime juice,1 teaspoon sugar,1/4 cup mezcal or tequila,1/4 cup club soda,,,,,,,,
Clementine Mulled Cider,1 quart apple cider,"Peel of 2 clementines, cut into strips",1 cinnamon stick,6 whole cloves,8 ounces rum (optional),,,,,,,,,
Bill Heck's Old Fashioned,2 sugar cubes,4 dashes of Angostura bitters,1 lemon wheel,1 lime wheel,1 orange wheel,1 maraschino cherry,1/2 teaspoons grenadine,1/4 cup bourbon or rye whiskey,Club soda,Ginger ale,,,,
El Chupacabra Martini,Freshly squeezed juice of 4 blood oranges or 1 cup orange juice,4 ounces coconut rum,2 ounces açaí juice,1 ounce guava nectar,1 ounce pineapple nectar,1 cup crushed ice,"1 blood orange, sliced, for garnish","1 star fruit, sliced (optional), for garnish",,,,,,
La Llorona,3 ounces Pisco Brandy,1 ounce fresh lime juice,1 ounce fresh lemon juice,1 1/2 tablespoons granulated sugar,Dash of Angostura bitters,Crushed ice,Dry ice (optional) (see note),,,,,,,
Philadelphia Fish House Punch,"2 cups sliced fresh (or frozen, thawed) peaches",12 thyme sprigs,1 1/4 cups sugar,1 liter (4 1/4 cups) Jamaican gold rum (such as Appleton Estate),2 cups Cognac,1 1/2 cups fresh lemon juice,1 cup peach liqueur (such as Bols),,,,,,,
Blackberry-Gin Fizz,1 6-ounce container blackberries,1/2 cup sugar,2 cups gin,1 cup fresh lime juice,Club soda,8 sprigs Thai basil or sweet basil,,,,,,,,
Bloodied Belgian,Ice cubes,3/4 ounce Scotch whisky,3/4 ounce sweet vermouth,2 ounces freshly squeezed blood orange juice,4 ounces Flemish sour ale or kriek lambic,"2 fresh cherries, for garnish",,,,,,,,
Oatmeal Cookie,Ice cubes,3 ounces molasses,3 ounces ruby port,1 1/2 ounces Goldschläger,12 ounces oatmeal stout,,,,,,,,,
Maru,12 fresh blackberries,Ice cubes,4 ounces freshly squeezed mandarin orange juice,3 ounces St-Germain elderflower liqueur,2 ounces Chambord,12 ounces Sapporo,,,,,,,,
Cucumber-Vermouth Sangria,"1 lemon, thinly sliced, plus more for garnish","1 cucumber, thinly sliced, plus more for garnish",1 (750-milliliter) bottle dry vermouth such as Dolin,1 ounce blue or orange curaçao liqueur,1 ounce simple syrup or more to taste,1 ounce lemon juice,2 ounces dry gin,2 cups cold sparkling water,1/2 to 1 ounce Maraschino liqueur (optional),Mint for garnish,,,,
Pineapple Sangria,3 cups pineapple juice,"1 bottle dry white wine, such as Chardonnay or Sauvignon Blanc",1 cup brandy (pear brandy is nice but not required),"1 ripe pineapple, cut into 1-inch chunks",1 cup pineapple soda,"1 bunch fresh mint, roughly chopped","1 orange, sliced",,,,,,,
Aquavit Spritzer,1 tablespoon raw sugar,"3/4 cup berry preserves, preferably lingonberry",4 cups soda water (32 ounces),2 cups aquavit or vodka,8 lemon twists,,,,,,,,,
Blueberry Smash,"2 lemons, sliced into rounds","2 limes, sliced into rounds",1 cup fresh blueberries,1/2 cup (loosely packed) fresh mint leaves plus sprigs for garnish,1 1/2 cups vodka,3/4 cup St-Germain (elderflower liqueur),,,,,,,,
The Classic Margarita,"2 ounces tequila made from 100 percent agave, preferably reposado or blanco",1 ounce Cointreau,1 ounce freshly squeezed lime juice,Salt for garnish,,,,,,,,,,
Agave Margarita,Kosher salt,2 lime slices or wedges,1/4 cup tequila blanco,1 tablespoon agave syrup (nectar),1/4 cup fresh lime juice,,,,,,,,,
To Make an Excellent Cherry Bounce,"10 to 11 pounds fresh sour cherries, preferably Morello, or 3 jars (1 pound, 9 ounce) preserved Morello cherries",4 cups brandy,"3 cups sugar, plus more as needed","2 cinnamon sticks, broken into pieces",2 to 3 cloves,1 (1/4-inch) piece fresh whole nutmeg,,,,,,,,
Kona Swizzle,1/4 cup spiced rum,4 1/2 teaspoons orgeat syrup,2 tablespoons fresh lime juice,1 teaspoon simple syrup,4 mint sprigs,2 dashes Peychaud's bitters,1 dash Angostura bitters,,,,,,,
The Dandy Lion,"3 thin slices peeled cucumber, plus 1 slice for garnish",1/2 ounce absinthe,2 ounces gin,3/4 ounce lemon juice,3/4 ounce simple syrup,"2 to 4 ounces tonic water, chilled",,,,,,,,
Rhubarb Collins,"1 (4 ounce) stalk rhubarb, trimmed and cut into 1/2 -inch pieces (about 3/4 cup total) or 3/4 cup frozen rhubarb chunks",1/2 cup sugar,2 ounces gin,1 ounce lemon juice,"2 to 4 ounces Champagne or soda water, chilled",,,,,,,,,
Rabbit Punch,"1 whole orange, plus 1 orange cut into thin slices for garnish",1 lemon,1 cup sugar,1 cup lemon juice,1 cup pineapple juice,"1 (750 milliliter) bottle bourbon, at least 100 proof",1 cup Champagne or sparkling wine,1 cup fresh pineapple chunks,,,,,,
Peach Prosecco,1 ounce vodka,1 ounce peach liqueur,1 ounce Prosecco,1/2 ounce lemon juice,1/2 ounce peach nectar,2 dashes Fee Brothers peach bitters (optional),Peach wedge,,,,,,,
The Buckley,20 fresh sage leaves,1 cup sugar,1 ounce gin,1/2 ounce Cocchi Aperitivo Americano or Lillet Blanc,3/4 ounce freshly squeezed lime juice,1/4 ounce Campari,Sage leaf for garnish,,,,,,,
Old Pal,3 tablespoons bourbon,2 tablespoons Campari,2 tablespoons dry vermouth,1 orange twist,,,,,,,,,,
Rosa Mae,"1 cup London dry gin, preferably Gordon's",1 orange pekoe or black tea bag,1 1/2 tablespoons honey,6 tablespoons fresh lime juice,6 tablespoons Licor 43,Soda water,4 lime wedges,Fee Brothers Old Fashion Bitters,,,,,,
Pink Champagne Punch,1 1/4 cups water,1/4 cup sugar,2 (4-inch long) strips lemon zest,1 cup chilled bottled pomegranate juice,3 tablespoons fresh lemon juice,1 750 milliliter bottle chilled pink sparkling wine or champagne,lemon twists,,,,,,,
New-Look Bloody Mary,4 cups tomato juice (preferably Campbell's),1 cup dill pickle juice,1/4 cup fresh lemon juice,1 tablespoon prepared horseradish,2 teaspoons Worcestershire sauce,2 teaspoons curry powder,1 teaspoon Sriracha,1 teaspoon kosher salt,1/2 teaspoon celery seeds,1/4 teaspoon black pepper,2 cups vodka,8 celery stalks,8 lemon wedges,
