,0,1,2,3,4,5,6,7,8,9,10,11,12,13
"Strawberry, Grapefruit, and Chamomile Brunch Punch",3 cups water,2 1/2 cups sugar,8 chamomile tea bags,4 cups fresh grapefruit juice,"1 pint fresh strawberries, hulled and sliced",3 cups bourbon,A few good dashes of bitters,"Ice cubes or an ice mold, for serving","Fresh chamomile flowers, for garnish (optional)",,,,,
Blood Orange–Champagne Ice Cream Float,"15ml (3 teaspoons) Champagne or sparkling wine (this can be flat, left over from a party)",15g (about 3 1/4 teaspoons) caster or superfine sugar,25ml (5 teaspoons) Cocchi Vermouth di Torino,15ml (3 teaspoons) Campari,35ml (about 2 tablespoons plus 1 teaspoon) soda water,"2 scoops of orange sorbet, preferably blood orange","A slice of orange (use blood orange, if in season)",,,,,,,
Mango Castaway,2 cups frozen mango,6 ounces aged rum,4 ounces coconut rum,5 tablespoons sweetened condensed milk,"Cocktail umbrellas, sliced fruit, flowers, maraschino cherries, and/or any other tiki drink decoration (optional)",,,,,,,,,
Moneygun Hot Toddy,1 tablespoon chopped unpeeled fresh ginger,1/2 teaspoon whole cloves,1 teaspoon loose or 1 bag Darjeeling tea,3/4 ounce Jamaican black rum,3/4 ounce cognac,1 tablespoon honey,2 teaspoons fresh lemon juice,Lemon wedge (for serving),,,,,,
Mixed Citrus Daiquiri,"1/2 lime, cut into 3/4-inch pieces",2 teaspoons light brown sugar,1/8 white grapefruit,"1 kumquat, halved",2 ounces aged white rum,,,,,,,,,
Chai-Spiced Hot Toddy,"2 teaspoons cardamom pods, crushed (about 20 pods)",2 teaspoons whole coriander seeds,1/4 teaspoon whole black peppercorns,"11 (3"") cinnamon sticks, divided","1 (2"") piece ginger, unpeeled, thinly sliced",2 medium oranges,6 tablespoons honey,3 tablespoons whole leaf black tea or 3 bags black tea,9 ounces dark rum,,,,,
Under-the-Mistletoe Punch,1 1/3 cups raw sugar,"3 tablespoons allspice berries, cracked",2 tablespoons whole cloves,2 (3-inch) cinnamon sticks,1 (750 ml) bottle amontillado sherry (preferably Lustau),1 (750 ml) bottle dry vermouth (preferably Dolin),1 1/2 cups plus 1 tablespoon cranberry juice cocktail,1 1/2 cups plus 1 tablespoon fresh lemon juice,"Blood orange or navel orange wheels, fir sprigs (optional), cranberries, and cinnamon sticks (for serving)",,,,,
Cran Royale,6 sprigs thyme,1 cup fresh or frozen cranberries,1/4 cup sugar,2 ounces fresh lemon juice,1 ounce Campari,12 ounces Champagne or dry sparkling wine,Fresh cranberries (for serving),,,,,,,
Midnight Sparkler Cocktail,"Lemon slice, clear sanding sugar or edible glitter, and lemon twists (for serving; optional)",4 ounces crème de violette,2 ounces fresh clementine or orange juice,2 ounces fresh lemon juice,2 ounces gin,Champagne or sparkling wine (for serving; about 10 ounces),,,,,,,,
Raspberry and Thyme Hot Toddy Punch,"4 black tea bags, preferably English Breakfast","1 lemon, thinly sliced","1 orange, thinly sliced",1/4 cup sugar,1 tablespoon cloves,12 sprigs thyme; plus more for serving (optional),"1 1/2 cups raspberry liqueur, such as Chambord","1 1/2 cups whiskey, preferably rye",1/4 cup fresh lemon juice,,,,,
