,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
['Margaritas to Die For'],2 limes,1/4 cup white sugar,3 tablespoons water,1 cup premium tequila,2 tablespoons brandy-based orange liqueur (such as Grand Marnier®),"1 lime, sliced into rounds",coarse salt,,,,,,,,
['Mexicali Beer Margaritas'],1 (12 fluid ounce) can limeade concentrate,1 1/2 cups gold tequila,3 (12 fluid ounce) cans Mexican beer,"1 whole lime, cut into 6 wedges",,,,,,,,,,,
['Yummy Margaritas'],1 (12 fluid ounce) can frozen limeade concentrate,6 fluid ounces beer,6 fluid ounces tequila,4 cups ice,"1 lime, sliced",,,,,,,,,,
['Banana Margaritas'],6 fluid ounces tequila,1 (6 ounce) can frozen limeade concentrate,4 fluid ounces triple sec liqueur,6 cups ice,2 bananas,1/4 cup coarse granulated sugar,,,,,,,,,
['Wonderful Margaritas'],2 (12 fluid ounce) cans frozen limeade concentrate,1 liter artificially sweetened citrus soda,12 fluid ounces tequila,,,,,,,,,,,,
['Mangorita'],2 (1.5 fluid ounce) jiggers tequila,1 (1.5 fluid ounce) jigger triple sec liqueur,1 (1.5 fluid ounce) jigger fresh lime juice,"1 mango - peeled, seeded, and sliced",4 ice cubes,1/4 cup mango nectar,,,,,,,,,
['Lemon Drop Shots'],3/4 fluid ounce vodka (such as Absolut®),3/4 fluid ounce lemon juice,"2 1/2 teaspoons white sugar, or to taste","1 lemon, cut into wedges",,,,,,,,,,,
['Sparkling Sea Breeze'],ice cubes,1 (1.5 fluid ounce) jigger vodka,1 (1.5 fluid ounce) jigger cranberry juice,1 (1.5 fluid ounce) jigger grapefruit juice,2 (1.5 fluid ounce) jiggers sparkling water,1 lime wedge,,,,,,,,,
['French Martini'],ice cubes,2 fluid ounces vodka,2 fluid ounces fresh pineapple juice,1/2 fluid ounce raspberry-flavored liqueur (such as Chambord®),1 slice fresh pineapple,1 (3 inch) lemon peel,,,,,,,,,
['Grilled Gazpacho Bloody Mary'],1 pound tomatoes,"1/4 cup olive oil, divided","1 teaspoon salt, divided",1 red bell pepper,"1 small onion, quartered",1 poblano pepper,"3 cloves garlic, unpeeled","1 lemon, halved",1 1/2 teaspoons grated fresh horseradish,1 teaspoon seafood seasoning (such as Old Bay®),1/2 teaspoon celery salt,1 dash Worcestershire sauce,"1 dash hot sauce (such as Tabasco®), or to taste (optional)",ice,"6 fluid ounces vodka, divided"
['The Shaner Bill'],"1/4 cup ice, or as desired",1 (1.5 fluid ounce) jigger vodka,1 (1.5 fluid ounce) jigger cranberry juice,1 (1.5 fluid ounce) jigger citrus-flavored soda (such as Fresca®),1 wedge lime,,,,,,,,,,
['Happy Birthday Martini'],1 teaspoon white sugar,1 teaspoon fresh lemon juice,1 fluid ounce pomegranate juice,2 fluid ounces vodka (such as Tito's®),3 ice cubes,2 strips lemon peel,,,,,,,,,
['Hard Lemonade'],1 lemon,"4 cups water, or as needed, divided",1 cup white sugar,"6 large lemons, juiced",1 1/2 cups vodka,"1 cup ice cubes, or as needed","1 large lemon, sliced",,,,,,,,
['Madras Cocktail'],1 1/2 fluid ounces vodka,4 fluid ounces cranberry juice,1 fluid ounce orange juice,1/2 cup ice,1 lime wedge,,,,,,,,,,
['White Peach Sangria'],1 (750 milliliter) bottle dry white wine,3/4 cup peach flavored vodka,"6 tablespoons frozen lemonade concentrate, thawed",1/4 cup white sugar,"1 pound white peaches, pitted and sliced","3/4 cup seedless red grapes, halved","3/4 cup seedless green grapes, halved",,,,,,,,
['Amaretto'],1 cup water,1 cup white sugar,1/2 cup brown sugar,2 cups vodka,2 tablespoons almond extract,2 teaspoons vanilla extract,,,,,,,,,
['Summer Beer II'],"1 (12 fluid ounce) can frozen pink lemonade concentrate, thawed",12 fluid ounces water,12 fluid ounces vodka,1 (12 fluid ounce) can or bottle beer,,,,,,,,,,,
"[""Grandma's Apple Pie 'Ala Mode' Moonshine""]",1/2 gallon apple cider,1/2 gallon apple juice,4 cinnamon sticks,1 whole clove,1 cup white sugar,1 cup brown sugar,3 cups 190 proof grain alcohol (such as Everclear®),2 cups vanilla vodka,,,,,,,
['Cosmopolitan'],1 (1.5 fluid ounce) jigger vodka,1/2 fluid ounce cointreau,1 teaspoon fresh lime juice,1 1/2 fluid ounces cranberry juice,"1 twist lime zest, garnish",,,,,,,,,,
['Limoncello'],10 lemons,1 liter vodka,3 cups white sugar,4 cups water,,,,,,,,,,,
['Red Rooster'],1 cup ice cubes,2 fluid ounces vodka,4 fluid ounces cranberry juice,1/2 fluid ounce orange juice,,,,,,,,,,,
['Party Punch IV'],1 (16 ounce) can frozen pineapple juice concentrate,1 (12 fluid ounce) can frozen orange juice concentrate,12 fluid ounces vodka,"2 (2 liter) bottles lemon-lime flavored carbonated beverage, chilled",1 (4 ounce) jar maraschino cherries,"4 oranges, sliced into rounds",2 trays ice cubes,,,,,,,,
['Cranberry Martini'],1 (1.5 fluid ounce) jigger vodka,1/2 fluid ounce orange liqueur,1/2 fluid ounce dry vermouth,2 (1.5 fluid ounce) jiggers cranberry juice,1 cup ice,cranberries,,,,,,,,,
['Dirty Martini'],6 fluid ounces vodka,1 dash dry vermouth,1 fluid ounce brine from olive jar,4 stuffed green olives,,,,,,,,,,,
['Summer Beer I'],4 cups ice cubes,1 (6 ounce) can frozen lemonade concentrate,1 (12 fluid ounce) can or bottle beer,12 fluid ounces vodka,,,,,,,,,,,
['Chocolate Cake Shot'],1 fluid ounce hazelnut liqueur,1/2 fluid ounce vodka,"1 lemon, cut into wedges",white sugar,,,,,,,,,,,
['Sex on the Beach III'],1 fluid ounce vodka,1 fluid ounce peach schnapps,3 fluid ounces orange juice,3 fluid ounces cranberry juice,,,,,,,,,,,
"[""Rebecca's Rockin' Vodka Lemonade""]",1 (12 fluid ounce) can frozen raspberry lemonade concentrate,12 fluid ounces vodka,1 lime,,,,,,,,,,,,
['White Russian'],1 fluid ounce coffee flavored liqueur,1 fluid ounce vodka,1/2 cup cream or milk,,,,,,,,,,,,
['Moscow Mule Cocktail'],1 1/2 fluid ounces vodka,1/2 fluid ounce lime juice,ice cubes,1/2 cup ginger beer,1 lime wedge for garnish,,,,,,,,,,
['Lynchburg Lemonade Cocktail'],1 fluid ounce Tennessee whiskey (such as Jack Daniels ®),1 fluid ounce triple sec,1 fluid ounce sweet and sour mix,1 1/2 cups ice,2 fluid ounces lemon-lime soda,1 lemon wheel,,,,,,,,,
['Whiskey Sours'],"3 (12 fluid ounce) cans frozen orange juice concentrate, thawed","1 (12 fluid ounce) can frozen lemonade concentrate, thawed",18 cups water,2 cups whiskey,26 maraschino cherries,26 orange slices for garnish,,,,,,,,,
['Rob Roy'],1/4 cup blended Scotch whiskey,2 tablespoons sweet vermouth,4 ice cubes,2 dashes Angostura bitters,1 maraschino cherry,,,,,,,,,,
['Original Irish Cream'],1 cup heavy cream,1 (14 ounce) can sweetened condensed milk,1 2/3 cups Irish whiskey,1 teaspoon instant coffee granules,2 tablespoons chocolate syrup,1 teaspoon vanilla extract,1 teaspoon almond extract,,,,,,,,
['Hot Toddy'],1 teaspoon honey,2 fluid ounces boiling water,1 1/2 fluid ounces whiskey,3 whole cloves,1 cinnamon stick,1 slice lemon,1 pinch ground nutmeg,,,,,,,,
['Whiskey Slush'],1 (12 fluid ounce) can frozen lemonade concentrate,1 (6 ounce) can frozen orange juice concentrate,2 cups strong brewed black tea,1 cup white sugar,2 cups whiskey,7 cups water,1 liter ginger ale soda,"2 lemons - cut into wedges, for garnish",,,,,,,
['Whisky Tea'],1 cup boiling water,1 tea bag,1 (1.5 fluid ounce) jigger Irish whiskey,1 tablespoon milk,1 teaspoon white sugar,,,,,,,,,,
['Classic Whiskey Sour'],1 fluid ounce simple syrup,2 fluid ounces fresh lemon juice,5 fluid ounces whiskey,ice cubes,3 maraschino cherries for garnish,,,,,,,,,,
['Red Apple Martini'],1 (1.5 fluid ounce) jigger sour apple schnapps,1 (1.5 fluid ounce) jigger Canadian whiskey,1 (1.5 fluid ounce) jigger cranberry juice,,,,,,,,,,,,
['Eggnog Blend'],4 cups half-and-half,1 cup white sugar,"11 egg yolks, beaten",1 teaspoon vanilla extract,2 cups heavy cream,2/3 cup dark rum,1/2 cup Scotch whiskey,1 pint vanilla ice cream,,,,,,,
['Irish Coffee'],1 (1.5 fluid ounce) jigger Irish cream liqueur,1 (1.5 fluid ounce) jigger Irish whiskey,1 cup hot brewed coffee,1 tablespoon whipped cream,1 dash ground nutmeg,,,,,,,,,,
['True Manhattan'],2 fluid ounces whiskey,1/2 fluid ounce sweet vermouth,1 dash bitters (optional),1 cup ice cubes,1 maraschino cherry for garnish,,,,,,,,,,
['Bourbolicious'],"1 (12 fluid ounce) can frozen lemonade concentrate, thawed",1 (6 ounce) can frozen orange juice concentrate,1 cup white sugar,1 1/2 cups bourbon whiskey,2 1/4 cups brewed tea,6 cups water,,,,,,,,,
['Irish Car Bomb II'],3/4 fluid ounce Irish whiskey,3/4 fluid ounce Irish cream liqueur,6 fluid ounces Irish stout beer,,,,,,,,,,,,
"['Hop, Skip, and Go Naked']",6 (12 fluid ounce) cans or bottles beer,1 (12 fluid ounce) can frozen lemonade concentrate,1 pint whiskey,,,,,,,,,,,,
['Liquid Hot Apple Pie'],1 gallon apple juice,1 (2 liter) bottle cold ginger ale,1 cup brown sugar,1 pint whiskey,1 pint spiced rum,3 (3 inch) cinnamon sticks,,,,,,,,,
['Whiskey Paralyzer'],1 cup ice cubes,"1 fluid ounce Canadian whiskey, such as Crown Royal™",1 fluid ounce Kahlua or other coffee flavored liqueur,1/2 cup root beer,2 fluid ounces milk,,,,,,,,,,
