,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9,Unnamed: 0
68,2 ounces light rum,1 1/2 tablespoons lime juice,,,,,,,,,,,1/2 teaspoons superfine sugar,,,,,3 or 4 ice cubes,,,,,,,Daiquiri
69,3 tablespoons (1 1/2 ounces) citrus vodka,"1 1/2 tablespoons (3/4 ounce) orange liqueur, such as Triple Sec",,,,,,,,,,,1/2 teaspoon freshly squeezed lime juice,,,,,1/2 teaspoon simple syrup,1 teaspoon cranberry juice,1 cup ice cubes,lemon or orange twist,,,,Cosmopolitan
70,"1/4 fennel bulb, untrimmed, coarsely chopped",1 (375-ml) bottle dry vermouth (preferably Dolin),,,,,,,,,,,"1 large rhubarb stalk, thinly sliced, plus more, shaved, for serving",,,,,1/2 cup sugar,3/4 cup fresh lemon juice,3/4 cup gin (preferably Fords),,,,,Rhubarb-Fennel Gin Cocktail
71,2 ounces Aperol,2 ounces sparkling white wine,,,,,,,,,,,1 ounce fresh grapefruit juice (preferably ruby red),,,,,Splash of soda water,1/2 grapefruit wheel (preferably ruby red: for garnish),,,,,,The Spring Spritz
72,1 cup St. Germain,1 cup egg whites,,,,,,,,,,,"1 ounce 25-year-old traditional balsamic vinegar, Preferably Leonardo e Robert’s gourmet blends",,,,,2 ounces Hendrick's gin,St. Germain Foam,"Slice of fresh strawberry, for garnish",,,,,The Last Tango in Modena
73,"2 Meyer or regular lemons, thinly sliced into rounds, seeds removed",8 sugar cubes,,,,,,,,,,,1 1/2 teaspoons Angostura bitters,,,,,"2 (750-ml) bottles dry Prosecco or other sparkling wine, chilled",,,,,,,Sparkling Lemon Cocktail
74,1/2 cup sugar,"4 large egg whites (see Cooks' Note), separated individually",,,,,,,,,,,8 ounces rye whiskey,,,,,4 ounces fresh lemon juice,Pernod or absinthe (for serving),,,,,,The Rattlesnake
75,"1 (6"") piece fresh ginger, unpeeled, thinly sliced",3/4 cup honey,,,,,,,,,,,2 ounces blended scotch,,,,,1 ounce fresh grapefruit juice,1/2 ounce single malt scotch (such as Laphroaig),,,,,,The Winterized Penicillin
76,1 1/2 ounces amaro (preferably Nonino),1 1/2 ounces Aperol,,,,,,,,,,,1 1/2 ounces bourbon,,,,,"1 1/2 ounces fresh lemon juice, strained",,,,,,,Paper Plane Cocktail
77,2 bags ginger tea,1 1/2 ounces maple-flavored bourbon (such as Knob Creek Smoked Maple),,,,,,,,,,,1 tablespoon plus 1 teaspoon fresh lemon juice,,,,,1 teaspoon maple syrup,Lemon peel (for garnish),,,,,,The Maple-Ginger Hot Toddy
78,1 1/2 cup sugar,1 1/2 cup water,2 ounces Goslings rum,1 ounce freshly squeezed lime juice,1 ounce cranberry syrup,,,,,,,,2 cups cranberries,,,,,2 cups simple syrup,4 wide strips orange zest,2 cinnamon sticks,1/2 cup cranberries,1/2 cup simple syrup,2 wide strips orange zest,1 cinnamon stick,Cranberry Daiquiri
79,1 ounce vodka,1 ounce applejack,,,,,,,,,,,1 ounce fresh lemon juice,,,,,1 tablespoon cranberry sauce,1/2 ounce simple syrup,"2 ounces sparkling white wine, chilled",,,,,Crush Royale Cocktail
80,2 quarts low-sodium tomato juice,1/2 cup fresh lemon juice,1/2 teaspoon Zatarain's powdered crab boil,4 cups vodka (preferably Tito's),"Pickled green beans, pickled okra, and celery stalks (for garnish)",,,,,,,,1/2 cup pickled okra brine,,,,,1/2 cup Spanish olive brine,1/3 cup plus 1 tablespoon prepared horseradish,1/3 cup soy sauce,2 tablespoons celery seeds,2 tablespoons Worcestershire sauce,1 tablespoon plus 1 teaspoon Tabasco Chipotle sauce,2 teaspoons freshly ground black pepper,Blue Smoke Bloody Mary
81,"6 ounces chilled hard apple cider, preferably semi-dry",2 ounces cognac,,,,,,,,,,,1 (3 x 1/2-inch) strip orange zest,,,,,matches,,,,,,,The Fall Spritz
82,6 ounces bourbon,3 ounces fresh grapefruit juice,,,,,,,,,,,2 ounces sweet vermouth,,,,,1 1/3 ounces grenadine,Lemon twists (for serving),Maraschino cherries (for serving),,,,,Backwoods Bourbon Punch
83,1 teaspoon elderflower cordial or syrup,1 1/2 ounces añejo tequila,,,,,,,,,,,1 lemon,,,,,Club soda (for serving),,,,,,,Tequila Highball
84,1 1/2 ounces sweet vermouth,1 1/2 ounces Campari,,,,,,,,,,,1 1/2 ounces gin,,,,,2 or 3 ice cubes,Twist lemon peel,,,,,,Negroni
85,1 cube sugar,1 teaspoon cold water,,,,,,,,,,,2 ounces rye whiskey,,,,,Dash Pernod,Dash Peychaud's bitters,3 or 4 ice cubes,Twist lemon peel,,,,Sazerac
86,1 tablespoon (1/2 ounce) Lillet Blanc,2 tablespoons (1 ounce) vodka,,,,,,,,,,,6 tablespoons (3 ounces) gin,,,,,1 cup ice,1 (3/4-inch-thick) strip lemon peel,,,,,,Vesper
87,2 ounces rye or bourbon whiskey,1 ounce sweet vermouth,,,,,,,,,,,2 dashes Angostura or orange bitters,,,,,Maraschino cherry for garnish,,,,,,,Manhattan
88,1 1/2 ounces gin,1 1/2 ounces mezcal,,,,,,,,,,,3/4 ounce Cappelletti,,,,,3/4 ounce fresh lemon juice,1/4 ounce fresh orange juice,,,,,,The Ruby Diamond
89,"4 pounds yellow or Sun Gold tomatoes, quartered, halved if small",1 tablespoon plus 1 teaspoon kosher salt,1 pint Sun Gold tomatoes,8 small celery stalks with leaves,Tabasco sauce (for serving),,,,,,,,1 cup dill pickle juice,,,,,1/4 cup fresh lemon juice,1 tablespoon finely grated fresh horseradish or prepared horseradish,2 teaspoons Worcestershire sauce,1 teaspoon freshly ground black pepper,1/2 teaspoon Old Bay seasoning,3 dashes Tabasco sauce,8 ounces vodka,Golden Sunset
90,1 cup Concord grapes,1/3 cup sugar,,,,,,,,,,,4 rosemary leaves,,,,,2 ounces vodka,1 ounce grape syrup,1/2 ounce apple cider vinegar,2–3 ounces club soda,,,,Rosemary-Concord Shrub
91,3 cups frozen sliced peaches (about 14 ounces),2 cups ice,,,,,,,,,,,6 ounces whiskey,,,,,2 ounces honey,1 ounce fresh lemon juice,1 ounce fresh lime juice,1/8 teaspoon ground cardamom,,,,Life's A Peach Cocktail
92,4 ounces dry Prosecco or other sparkling white wine,1 ounce crème de cassis (blackcurrant liqueur),,,,,,,,,,,Club soda,,,,,Blackberries,,,,,,,Cassis Spritz
93,4 ounces dry Prosecco or other sparkling white wine,2 ounces strained fresh orange juice,,,,,,,,,,,1/2 ounce Cointreau,,,,,Club soda,Orange wheel,,,,,,Cointreau Spritz
94,4 ounces dry Prosecco or other sparkling white wine,1 1/2 ounces St-Germain (elderflower liqueur),,,,,,,,,,,Club soda,,,,,Fresh lavender,,,,,,,St-Germain Spritz
95,4 ounces dry Prosecco or other sparkling white wine,1 ounce sloe gin,,,,,,,,,,,Club soda,,,,,Blueberries and a sprig of mint,,,,,,,Sloe Gin Spritz
96,4 ounces dry Prosecco or other sparkling white wine,2 ounces Cocchi Americano Rosa,,,,,,,,,,,Club soda,,,,,Orange wheel,,,,,,,Cocchi Spritz
97,4 ounces dry Prosecco or other sparkling white wine,1 ounce sweet vermouth,,,,,,,,,,,1/2 ounce Campari,,,,,Club soda,Lime wheel,,,,,,Sbagliato
98,8 ounces Jamaican rum,4 ounces fresh lime juice,,,,,,,,,,,2 ounces simple syrup,,,,,A dash of Angostura bitters,"Freshly grated nutmeg, and a sprig of mint",,,,,,Rum Swizzle
99,"1 (1 1/2"") piece peeled cucumber",2 ounces fino Sherry,,,,,,,,,,,3/4 ounce fresh lime juice,,,,,1/2 ounce dill pickle juice,1/2 ounce simple syrup,,,,,,Seaside Cocktail
100,3/4 cup sugar,1/2 cup water,,,,,,,,,,,"1 1/2 pounds ripe fruit (such as peaches, strawberries, plums, or pineapple) cut into medium pieces",,,,,3 tablespoons distilled white vinegar,1 1/2 ounces spirit of choice,1/2 ounce lemon juice,,,,,Summer Fruit Shrub Cocktail
101,"2 ripe strawberries, divided",1 1/2 ounces aquavit (such as Krogstad),,,,,,,,,,,3/4 ounce fresh lemon juice,,,,,3/4 ounce Simple Syrup,1/4 ounce Campari,4 drops orange-blossom water,,,,,Berry Dangerous Fix Cocktail
102,1 1/4 ounces Aperol,1 1/4 ounces vermouth (such as Dolin Blanc),,,,,,,,,,,3/4 ounce fresh lemon juice,,,,,2 dashes Angostura bitters,Bitter lemon soda (such as San Pellegrino Limonata or Fever-Tree Bitter Lemon),1/2 orange wheel,,,,,Wild Heart Cocktail
103,"4 fresh sweet cherries, halved, pitted",1/4 of a lemon,,,,,,,,,,,1/4 of a lime,,,,,5–6 fresh mint leaves,1/2 ounce simple syrup,1 dash Angostura bitters,2 ounces dark rum,Mint sprigs (for garnish),,,The Cherry Bomb
104,3 ounces mezcal,2 ounces Amaro Montenegro,,,,,,,,,,,1 ounce triple sec,,,,,An 8-ounce flask,,,,,,,Kumbaya Cocktail
105,"4 ounces Islay scotch (such as Laphroaig, Caol Ila, or Ardbeg)",1/2 ounce simple syrup,,,,,,,,,,,4 dashes Angostura bitters,,,,,2 dashes orange bitters,An 8-ounce flask,,,,,,"Goodnight, Irene Cocktail"
106,1 1/4 cups chilled gin,1 cup chilled fresh lemon juice,Club soda (for serving),,,,,,,,,,1/2 cup sugar,,,,,"2 lemons, cut into wedges","1 mango, cut into 1/2"" wedges","1/2 English hothouse cucumber, thinly sliced",6 sprigs mint,"1 (4"" piece) ginger, peeled, thinly sliced",1 cup fresh raspberries,"1 cup fresh strawberries, hulled, quartered",Tom Collins Bar
107,"2 strawberries, hulled, sliced",1 teaspoon sugar,,,,,,,,,,,2 ounces tequila blanco,,,,,1 ounce fresh lemon juice,3/4 ounce dry rosé,,,,,,The Mosé
108,3 scoops green tea ice cream,Ginger beer,,,,,,,,,,,1 ounce Irish whiskey (optional),,,,,Mint sprig (for serving),,,,,,,Green Tea And Ginger Beer Float
109,3 scoops coconut ice cream,Cream soda,,,,,,,,,,,1 ounce rum (optional),,,,,Chocolate syrup (for serving),,,,,,,Coconut And Cream Float
110,3 scoops vanilla ice cream,Seltzer,,,,,,,,,,,1 tablespoon Angostura bitters,,,,,1 ounce cherry brandy or kirsch (optional),Luxardo maraschino cherries (for serving),,,,,,Vanilla Float with Bitters and Cherries
111,3 scoops peach ice cream,Grapefruit soda,,,,,,,,,,,1 ounce Campari (optional),,,,,Tarragon or lemon verbena sprig (for serving),,,,,,,Peach and Fizzy Grapefruit Float
112,1 cup agave nectar,2 ounces dried coffee cherry husks,,,,,,,,,,,2 ounces blanco tequila,,,,,3/4 ounce fresh lime juice,1/2 ounce fresh pomegranate juice,3–4 dashes Angostura bitters,Ginger beer (such as Gosling's),Lime wheels (for serving),,,The Husker Dew
113,8 ounces vodka,1 teaspoon or 1 bag green tea,,,,,,,,,,,1/2 cup sugar,,,,,2 cups (packed) baby arugula,1 English hothouse cucumber,"1 jalapeño, quartered, seeded",4 ounces fresh lemon juice,Mint sprigs (for serving),,,Green Goddess Cocktail
114,1/2 cup sugar,3 cups arugula,,,,,,,,,,,1 1/2 ounces gin,,,,,1/2 ounce vodka,3/4 ounce fresh lemon juice,Pinch of salt,,,,,The Green Vesper
115,15 mint sprigs (1 bunch),1 cup raw sugar,,,,,,,,,,,"3 large fresh mint leaves, plus 3 mint sprigs for garnish",,,,,"2 cups crushed ice, divided","1 1/2 ounces 100-proof bourbon (such as Four Roses), divided",12-ounce julep cup,,,,,Derby Mint Julep
116,"2 pounds rhubarb, cut into 1/4"" pieces (about 6 cups)","1 (7-inch) piece ginger, unpeeled, cut into 1/4"" coins (about 1/4 cup)",,,,,,,,,,,3/4 cup apple cider vinegar,,,,,1 1/4 cups sugar,2 ounces gin,1/2 ounce fresh lime juice,Club soda (for serving),,,,The Shrubarb Cocktail
117,3/4 cup gin,2 teaspoons dry vermouth,,,,,,,,,,,"Green olives, with pimiento",,,,,,,,,,,,Classic Martini
118,1 (750ml) bottle vodka,2 large rosemary sprigs,,,,,,,,,,,1 1/2 ounces rosemary-infused vodka,,,,,1/2 ounce simple syrup,1/2 ounce fresh ruby red grapefruit juice,1/2 ounce fresh lemon juice,"Rosemary sprig, for serving",,,,The Spring Forward
119,2 cups dried hibiscus flowers,1 cup (packed) light brown sugar,,,,,,,,,,,4 sprigs rosemary,,,,,8 whole cloves,6 allspice berries,"2 cinnamon sticks, plus more for serving","3 star anise pods, plus more for serving",12 ounces tequila or mezcal,"8 lemon slices, halved",,Especiado Cocktail
120,1 sugar cube soaked with Angostura bitters,1 handful of cracked ice cubes,,,,,,,,,,,2 ounces Cognac,,,,,2 ounces Champagne,1/4 ounce Chartreuse liqueur,,,,,,The Jimmie Roosevelt
121,"1 large rosemary sprig, charred",1 750 ml bottle vodka (reserve bottle),,,,,,,,,,,,,,,,,,,,,,,Charred Rosemary–Infused Vodka
122,1 1/2 ounces Cocchi Americano Bianco,"1 ounce elderflower liqueur, such as St-Germain",,,,,,,,,,,2 ounces club soda,,,,,1 grapefruit twist,,,,,,,White Noise Spritz
123,1 ounce Scotch whiskey,1/2 ounce sweet vermouth,,,,,,,,,,,1/2 ounce dry vermouth,,,,,Dash Benedictine,3 or 4 ice cubes,,,,,,Bobby Burns
124,"1 orange wheel, halved",2 dark sweet cherries (1 pitted),,,,,,,,,,,2 oz Casamigos Reposado tequila,,,,,1/4 oz agave nectar,pinch of cinnamon,,,,,,Sweet Amigos
125,1/2 ounce rittenhouse 100 rye,1/2 ounce buffalo trace bourbon,,,,,,,,,,,1/2 ounce calvados,,,,,1/2 ounce hine h cognac,1 teaspoon demerara syrup,2 dashes angostura bitters,1 dash bittermens xocolatl mole bitters,1 lemon twist,1 orange twist,,Conference
126,2 ounces gin (preferably Tanqueray),1 to 3 lime wedges,,,,,,,,,,,3 to 4 ounces tonic water,,,,,,,,,,,,Gin & Tonic
127,1/2 cup granulated sugar,1/2 cup water,,,,,,,,,,,2 teaspoons lightly crushed whole cardamom pods,,,,,"2-inch strip orange zest, removed with a vegetable peeler","1 750-ml bottle prosecco, chilled",Cardamom syrup (recipe follows),Angostura bitters,"Orange twists, for serving",,,Orange-Cardamom Spritzer
128,8 white sugar cubes,2 ounces club soda,,,,,,,,,,,4 ounces Plymouth gin,,,,,2 ounces cinnamon orange tea-infused sweet vermouth (below),4 ounces grapefruit juice,2 ounces lemon juice,3 ounces dry champagne,Garnish: 6 grapefruit wheels,,,Mother's Ruin Punch
129,1/4 cup clover honey,2 tablespoon hot water in a small jar,,,,,,,,,,,6 tablespoons gin,,,,,3 tablespoons fresh lime juice,2 tablespoons Aperol or Capelletti,1 tablespoon honey syrup,2 dashes of Angostura bitters,Ice,Champagne or sparkling wine,Lime wheel for garnish,Saint-Florent Cocktail
130,1 chopped celery stalk,1 tablespoon sugar,,,,,,,,,,,1 ounce fresh lemon juice,,,,,2 ounces gin,Ice,Lemon twist (garnish),,,,,Celery Tonic
131,2 tablespoons honey,"2 basil sprig, plus 1 for garnish",,,,,,,,,,,1 ounce bourbon,,,,,1 ounce Campari,3/4 ounce grapefruit juice,3/4 ounce lemon juice,1/2 ounce honey syrup,2 grinds of black pepper,,,Trouble in Paradise
132,1/2 pint blackberries,8 mint sprigs,,,,,,,,,,,1 1/2 cups vodka,,,,,1 cup fresh lime juice,3 12-ounce cans or bottles ginger beer,Ice,Mint garnish,,,,Blackberry and Ginger Cocktail
133,"6 fresh basil leaves, plus a sprig for garnish","11 blackberries, divided",,,,,,,,,,,1 tablespoon fresh lemon juice,,,,,Ice cubes,"1/4 cup ginger beer, chilled",2 tablespoons bourbon (optional),,,,,Blackberry Summer Smash
134,"3 cups pineapple pieces, frozen",6 ounces gin,,,,,,,,,,,2 ounces simple syrup,,,,,1 ounce fresh lime juice,1 ounce pineapple juice,2 cups ice,Optional garnish: Pineapple wedges and mint sprigs,,,,Pineapple and Gin
135,"3 cups sliced peeled peaches, frozen",2 tablespoons finely grated peeled ginger,,,,,,,,,,,6 ounces bourbon,,,,,3 ounces simple syrup,2 ounces fresh lemon juice,2 cups ice,Optional garnish: Sage sprigs,,,,"Peach, Ginger, and Bourbon"
136,"3 1/2 cups watermelon pieces, frozen","1/2""-thick jalapeño slice, with seeds",,,,,,,,,,,6 ounces tequila blanco,,,,,4 ounces simple syrup,2 ounces fresh lime juice,3 cups ice,Optional garnish: Watermelon wedges and sliced jalapeños,,,,"Watermelon, Lime, and Tequila"
137,"3 cups halved hulled strawberries, frozen",6 ounces vodka,,,,,,,,,,,4 ounces simple syrup + 1 1/2 ounces,,,,,fresh lime juice,2 cups ice,Optional garnish: Tarragon sprigs,,,,,Strawberries and Vodka
138,"2 cups blackberries, frozen","1 1/2 cups raspberries, frozen",,,,,,,,,,,6 ounces light rum,,,,,4 ounces simple syrup,1 1/2 ounces fresh lime juice,2 cups ice,Optional garnish: Blackberries,,,,Berries and Rum
139,1 ounce fresh lime juice,2 teaspoons Sriracha,,,,,,,,,,,1/2 teaspoon Worcestershire sauce,,,,,Mexican lager (such as Pacifico),Lime wheel garnish,salt rimmed pint glass,,,,,Sriracha-Lada
140,1 ounce crème de cassis,raspberry lambic beer (such as Lindemans Framboise),,,,,,,,,,,Mint sprig garnish,,,,,,,,,,,,Raspberry Snakebite
141,2 ounces fresh orange juice,1 ounce gin,,,,,,,,,,,American style lager (such as Miller High Life),,,,,Orange wheel garnish,,,,,,,Vitamin C Brew
142,1 ounce Aperol,1 ounce fresh lemon juice,,,,,,,,,,,Hefeweizenstyle Belgian beer (such as Hoegaarden),,,,,Lemon twist,,,,,,,Aperol Mist
143,"2 pounds red tomatoes, halved","2 lemons, halved",,,,,,,,,,,"7 small-to-medium celery stalks, preferably with leaves",,,,,1 1/2 tablespoons Worcestershire sauce,1 1/2 teaspoons freshly grated horseradish,1 1/2 teaspoons sugar,"1 1/2 teaspoons kosher salt, plus more, for seasoning","1/2 teaspoon freshly ground black pepper, plus more, for seasoning",8 ounces (1 cup) vodka,"Tabasco sauce or Sriracha, for serving",Grilled Bloody Mary
144,"6 lemons, halved plus 1 lemon, sliced into 6 rounds",1/2 cup simple syrup (see Note),,,,,,,,,,,1 3/4 cups ice water,,,,,Six 12-ounce pilsners,,,,,,,Grilled Lemon Shandy
145,2 ounces Lemon-Ginger Brew,2 ounces dark rum,,,,,,,,,,,Club soda,,,,,Lime wedge,Candied ginger,,,,,,Extra-Stormy Dark and Stormy
146,3 ounces fresh pink grapefruit juice,1 1/2 ounces London dry gin,,,,,,,,,,,1/4 ounce St-Germain (elderflower liqueur),,,,,India Pale Ale (for serving),Grapefruit twist (for serving),,,,,,The Elvis
147,"3 fresh mint leaves, plus more for garnish","10 drops Meyer lemon bitters, such as Brooklyn Hemispherical*",,,,,,,,,,,3/4 ounce freshly squeezed lemon juice,,,,,1/2 ounce mint simple syrup,1 ounce Rok Hill Farms Bourbon or Blanton's,Sparkling wine such as Prosecco,,,,,Past Derby Winner
148,"8 mint leaves, plus sprig for serving",1/2 ounces simple syrup,,,,,,,,,,,1 ounce Averna Amaro Siciliano,,,,,1 ounce Italian sweet vermouth (such as Carpano Antica Formula),3/4 ounces fresh lemon juice,Lemon wedge (for serving),,,,,Roman Holiday Cocktail
149,1 1/2 ounces Byrrh,1 1/2 ounces London dry gin,,,,,,,,,,,Lemon twist (for serving),,,,,,,,,,,,The Byrrh Special
150,"3/4 ounce unaged white whiskey (e.g., moonshine)",1/4 ounce blackberry liqueur,,,,,,,,,,,1/4 ounce blackberry puree (or muddle one blackberry with a splash of simple syrup),,,,,Juice from 1 lemon wedge,,,,,,,Blackberry Moonshine
151,Bottom: Green crème de menthe,Middle: Licor 43,,,,,,,,,,,Top: Baileys Irish Cream,,,,,,,,,,,,Irish Flag
152,1 cup tomato juice,1 teaspoon chipotle puree in adobo sauce,,,,,,,,,,,Juice from 1 lemon wedge,,,,,1 1/2-ounce chilled shot of reposado tequila,,,,,,,Chipotle Sangrita
153,"3/4 ounce 12-year-old Irish whiskey, such as Redbreast","3/4 ounce 12-year-old single-malt Scotch whisky, such as Bowmore",,,,,,,,,,,3/4 ounce Green Chartreuse,,,,,3/4 ounce freshly squeezed lemon juice,3/4 ounce fresh pineapple juice,1/2 ounce orgeat syrup*,"5 dashes habanero bitters, such as Bittermens",Freshly grated nutmeg for garnish,"*Orgeat is a sweet syrup made from almonds, sugar, and orange-flower or rose water. Fee Brothers and Torani orgeat syrups are available on Amazon.",,Fighting Irish
154,2 tablespoons Worcestershire sauce,2 tablespoons freshly squeezed lemon juice,"2 tablespoons Bacon Salt, such as J&D's brand",Lime wedges,Bacon Twists for garnish,,,,,,,,1 teaspoon prepared horseradish,,,,,"1/2 teaspoon hot sauce, such as Tabasco brand",1/4 teaspoon celery seed,1/4 teaspoon ground coriander,1/4 teaspoon freshly ground black pepper,1/4 teaspoon salt,2 cups (16 ounces) tomato juice,"1/2-3/4 cup (4-6 ounces) bacon flavored vodka, or substitute plain",Bloody Hell Bloody Mary
155,Zest from 1 orange (removed in strips with a vegetable peeler),1/2 cup sugar,,,,,,,,,,,"1/2 orange, cut into 4 pieces",,,,,1 bunch mint,Orange bitters,8 ounces bourbon,,,,,Orange Mint Julep
156,6 ounces feta,1/2 cup finely chopped fresh flat-leaf parsley,,,,,,,,,,,1/4 cup finely chopped fresh mint,,,,,"2 tablespoons finely chopped fresh dill, plus torn sprigs for serving",Kosher salt and freshly ground black pepper,Olive oil,,,,,Herbed Feta Dip
157,2 cups whole milk,1 cup heavy cream,,,,,,,,,,,1/3 cup sugar,,,,,"1/2 ancho chile, lightly crushed",1 cinnamon stick,"1/2 vanilla bean, split lengthwise","3 ounces bittersweet chocolate (at least 70% cacao), chopped","2 ounces Xtabentún, Pernod, or other anise-flavored liqueur",,,Spicy Spiked Hot Chocolate
158,"2 limes, halved",3/4 cup apple cider vinegar,,,,,,,,,,,3/4 cup sugar,,,,,2 tablespoons honey,1 1/2 teaspoon crushed red pepper flakes,2 cups tequila blanco,1 1/2 cups Campari,3/4 cup fresh lemon juice,3/4 cup fresh lime juice,8 lime wedges (for serving),Nacho Vidal
159,8 ounces cooked beets*,"1 Granny Smith apple, peeled, cored, and cut into 1-inch chunks",,,,,,,,,,,1 cup granulated sugar,,,,,1 1/4 cups water,3/4 cup apple cider vinegar,6 star anise pods,2 teaspoons whole allspice berries,"1 (750-milliliter) bottle prosecco, chilled","*Use homemade roasted beets or store-bought vacuum-sealed beets. Avoid canned beets, which are too soft and waterlogged to use in cocktails.",,Red Red Red
160,6 tablespoons honey,"8 ounces bourbon, rye whiskey, or dark rum",,,,,,,,,,,24 ounces boiling water,,,,,4 lemon slices,,,,,,,Hot Toddy
161,2/3 cup blanched almonds,"1 1/2 cups plus 2 tablespoons granulated sugar, divided","**Aguardiente literally means ""burning water"" in Spanish. It is a strong (29% or higher) spirit distilled from fruits, grains, and commonly sugarcane. It's available at most liquor stores.",,,,,,,,,,6 cups whole milk,,,,,2 cinnamon sticks,Rind of 1 lemon*,1 teaspoon pure vanilla extract,1/4 teaspoon baking soda,8 large egg yolks,1 cup white rum or aguardiente**,"*Remove the lemon rind with a vegetable peeler, being careful to avoid the white pith, which will impart a bitter flavor.","Rompope (Mexican Milk, Egg, Spice, and Liquor Punch)"
162,2 ounces rye whiskey,1 ounce fresh red or pink grapefruit juice,,,,,,,,,,,1/2 ounce fresh lime juice,,,,,1/4 ounce agave syrup (nectar),2 dashes bitters,1 fresh sage leaf,,,,,Sage Brown Derby
163,1/4 cup clover honey,3 ounces fresh lemon juice,,,,,,,,,,,3 ounces Grand Marnier or other orange liqueur,,,,,3 ounces slivovitz or other plum brandy,2 ounces gin,4 maraschino cherries,4 small sprigs rosemary,,,,Sustina Sour
164,1/3 cup palm sugar or light brown sugar,6 ounces bourbon,,,,,,,,,,,4 ounces fresh lime juice,,,,,2 ounces tamarind concentrate,Orange wedges and maraschino cherries (for serving),Ingredient info: Tamarind concentrate is available at Asian markets or online.,,,,,Tamarind Whiskey Sour
165,1 large egg white,4 ounces rye whiskey,,,,,,,,,,,1 1/2 ounces fresh lemon juice,,,,,1 ounce simple syrup,1 ounce full-bodied red wine,,,,,,New York Sour
166,2 teaspoons allspice berries,2 teaspoons black peppercorns,,,,,,,,,,,"4 1"" strips orange zest (removed with a vegetable peeler)",,,,,1 750-milliliter bottle dark rum,3 ounces fresh lime juice,1 12-ounce can ginger beer,2 lime wedges (for serving),A spice mill or mortar and pestle,,,Spiced Dark and Stormy
167,1 bag berry herbal tea,1 1/2 ounces white rum,,,,,,,,,,,1/2 ounce fresh lemon juice,,,,,1 teaspoon honey,A lemon twist,,,,,,Bran's Dram
168,One 12-ounce can evaporated milk,2 large egg yolks,,,,,,,,,,,One 15-ounce can unsweetened coconut milk,,,,,One 14-ounce can sweetened condensed milk,1 cup white rum,1/4 teaspoon ground cinnamon,Pinch of salt,,,,Puerto Rican Coconut Eggnog (Coquito)
169,ice cubes,1/3 cup Pimm's No 1,,,,,,,,,,,"3/4 cup brewed Orange Pekoe tea, chilled",,,,,1 1/2 teaspoons agave syrup or honey,1 1/2 tablespoons freshly squeezed lemon juice,"citrus wedges, mint sprigs, quartered strawberries and cucumber ribbons, to garnish",,,,,Pimm's Iced Tea
170,3/4 cup fresh cranberries,1/4 cup sugar,,,,,,,,,,,1 teaspoon finely grated orange zest,,,,,2 tablespoons fresh orange juice,1 tablespoon kosher salt,1 tablespoon sugar,1 1/2 teaspoon Chinese five-spice powder,"1 lime wedge, plus 2 ounces fresh juice",4 ounces fresh orange juice,6 ounces tequila,Cranberry Margarita
171,1/3 cup sugar,8 sprigs thyme,,,,,,,,,,,2 cups apple cider,,,,,1 1/2 cups dark rum,3/4 cup fresh lime juice,1 teaspoon Angostura bitters,Club soda,8 sprigs thyme,8 lime slices,,The New England Express
172,"3"" piece ginger peeled, thinly sliced",1/2 cup raw or granulated sugar,,,,,,,,,,,2 750-milliliter bottles chilled Prosecco,,,,,8 thin clementine or orange slices,,,,,,,Ginger Fizz
173,1 1/2 cups cold-brew coffee,1/2 cup coffee liqueur,,,,,,,,,,,1/2 cup spiced rum,,,,,"1 12-ounce bottle Coca-Cola, preferably Mexican",1/2 cup heavy cream,,,,,,Dark Moon
174,1/4 cup kosher salt,1 teaspoon crushed red pepper flakes,,,,,,,,,,,8 lime wedges,,,,,2 cups tomato juice,8 tablespoons fresh lime juice,Hot sauce (such as Cholula),Worcestershire sauce,8 12-ounce cans light lager,Spicy Pickled Green Beans and Fennel (optional),,Bloody Beers
175,1 1/2 cups amber rum (such as Appleton Estate),1 cup Campari,,,,,,,,,,,1 cup sweet vermouth,,,,,1–2 750 milliliter bottles sparkling wine,"12 orange twists, if desired",,,,,,Evening in Kingston
176,2 1/4 cups London dry gin,1 cup fresh lemon juice,,,,,,,,,,,3/4 cup Grand Marnier,,,,,4 large egg whites,12 teaspoons orange marmalade,,,,,,Autumn Gin Sour
177,1 1/2 ounces Aperol,3/4 ounce fino Sherry,,,,,,,,,,,1 ounce fresh grapefruit juice,,,,,1/2 ounce fresh lemon juice,1/4 ounce honey simple syrup,,,,,,"Hey Hey, My My"
178,2 tablespoons sugar or evaporated cane juice,1/2 teaspoon ground cinnamon,,,,,,,,,,,1/4 teaspoon cayenne pepper,,,,,,,,,,,,Cinnamon-Sugar-Cayenne Rim
179,1 1/2 ounces Balcones True Blue Cask Strength Corn Whisky,1 ounce Plymouth Sloe Gin,,,,,,,,,,,1 ounce freshly squeezed lime juice,,,,,Dash of Angostura bitters,2 ounces Maine Root ginger beer,"Lime wheel, for garnish",,,,,Suffering Baptist
