,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9,Unnamed: 0
26,2 ice cubes,2 fluid ounces sloe gin,,,,,,,,,,,1 fluid ounce lemon juice,,,,,1 teaspoon simple syrup,1 cup ice,4 fluid ounces club soda,1 slice lemon,,,,['Sloe Gin Fizz Cocktail']
27,1/2 fluid ounce dry vermouth,4 fluid ounces gin,,,,,,,,,,,2 pimento-stuffed green olives,,,,,,,,,,,,"[""Shaggy's Perfect Martini""]"
28,2 fluid ounces gin,2 fluid ounces lemon juice,,,,,,,,,,,1 fluid ounce simple syrup,,,,,1 dash bitters,1 cup ice cubes,1/4 cup cold club soda,"1 slice lemon, for garnish",1 maraschino cherry,,,['Tom Collins']
29,1 strawberry,2 fresh basil leaves,,,,,,,,,,,2 teaspoons white sugar,,,,,ice cubes,2 fluid ounces gin,1 fluid ounce fresh lemon juice,3 fluid ounces chilled club soda,,,,['Strawberry-Gin Cocktail']
30,9 cups water,2 cups white sugar,,,,,,,,,,,1 (12 fluid ounce) can frozen orange juice concentrate,,,,,1 (12 fluid ounce) can frozen lemonade concentrate,2 cups gin,,,,,,['Gin Slush']
31,2 cups white sugar,7 cups water,,,,,,,,,,,4 tea bags,,,,,2 cups boiling water,1 (12 fluid ounce) can frozen lemonade concentrate,1 (12 fluid ounce) can frozen orange juice concentrate,2 cups gin,,,,['Frozen Summer Slush']
32,1/2 fluid ounce vodka,1/2 fluid ounce rum,,,,,,,,,,,1/2 fluid ounce gin,,,,,1/2 fluid ounce tequila,1/2 fluid ounce triple sec (orange-flavored liqueur),1 fluid ounce sweet and sour mix,"1 fluid ounce cola, or to taste",1 lemon slice,,,['The REAL Long Island Iced Tea']
33,4 cubes ice,2 fluid ounces gin,,,,,,,,,,,4 fluid ounces tonic water,,,,,1 tablespoon fresh lime juice,1 lime wedge,,,,,,['Gin and Tonic']
34,1 teaspoon Earl Grey tea leaves,2 (1.5 fluid ounce) jiggers gin,,,,,,,,,,,"white sugar, for rimming",,,,,1 wedge lemon,1 (1.5 fluid ounce) jigger fresh lemon juice,2 fluid ounces simple syrup,,,,,['Earl Grey Martini']
35,1 fluid ounce vodka,1 fluid ounce dry gin,,,,,,,,,,,1 fluid ounce triple sec (orange-flavored liqueur),,,,,1 fluid ounce rum,1 fluid ounce tequila,1 (12 fluid ounce) can or bottle cola-flavored carbonated beverage,1 wedge lemon,1 wedge lime,,,"[""Big Kev's Texas Style Long Island Iced Tea""]"
36,1 (1.5 fluid ounce) jigger vodka,1 (1.5 fluid ounce) jigger gin,,,,,,,,,,,1 (1.5 fluid ounce) jigger rum,,,,,1 (1.5 fluid ounce) jigger triple sec liqueur,1 teaspoon tequila,2 teaspoons orange juice,2 fluid ounces cola-flavored carbonated beverage,1 wedge lemon,,,['Long Island Iced Tea']
37,2 cups ice cubes,1/2 (1.5 fluid ounce) jigger vodka,,,,,,,,,,,1/2 (1.5 fluid ounce) jigger tequila,,,,,1/2 (1.5 fluid ounce) jigger rum,1/2 (1.5 fluid ounce) jigger gin,1/2 (1.5 fluid ounce) jigger Blue Curacao,1 dash sour mix,2 fluid ounces lemon-lime flavored carbonated beverage,1 slice fresh lemon,,['Blue Motorcycle']
38,1 (12 fluid ounce) can frozen pink lemonade concentrate,12 fluid ounces gin,,,,,,,,,,,1/2 cup vanilla ice cream,,,,,1/2 cup frozen strawberries,1 cup crushed ice,,,,,,['Pink Panties']
39,ice cubes,1/2 fluid ounce silver tequila,,,,,,,,,,,1/2 fluid ounce gin,,,,,1/2 fluid ounce white rum,1/2 fluid ounce vodka,1/2 fluid ounce triple sec,3 fluid ounces orange juice,3 fluid ounces grenadine syrup,4 fluid ounces beer (such as Budweiser®),,['Baltimore Zoo']
40,1 fluid ounce vodka,1 fluid ounce gin,,,,,,,,,,,1 fluid ounce triple sec liqueur,,,,,1 fluid ounce rum,1 (12 fluid ounce) can or bottle cola-flavored carbonated beverage,,,,,,"[""Gene's Long Island Iced Tea""]"
41,3 cups crushed ice,2 fluid ounces gin,4 pineapple chunks,8 maraschino cherries,,,,,,,,,1 fluid ounce dark rum,,,,,2 fluid ounces 151 proof rum,2 fluid ounces light rum,2 fluid ounces vodka,2 fluid ounces grenadine syrup,8 fluid ounces fresh orange juice,10 fluid ounces pineapple juice,3 fluid ounces fresh lemon juice (optional),['Scorpion Bowl']
42,1 (6 ounce) can frozen limeade concentrate,1 tray ice cubes,,,,,,,,,,,3 fluid ounces water,,,,,3 fluid ounces vodka,"1 lime, sliced",,,,,,['Lime-Aid']
43,1 cup ice cubes,1 fluid ounce light rum,maraschino cherry for garnish (optional),,,,,,,,,,1 fluid ounce dark rum,,,,,1 fluid ounce coconut rum,1 fluid ounce vodka,1 fluid ounce gin,1 fluid ounce Chambord (raspberry liqueur),1 fluid ounce triple sec liqueur,3 fluid ounces orange juice,orange slices for garnish (optional),['Storm of the Century Hurricane']
44,1 (1.5 fluid ounce) jigger dry gin,5 fluid ounces grapefruit juice,,,,,,,,,,,1/4 teaspoon salt,,,,,,,,,,,,['Salty Dog II']
45,1 (46 fluid ounce) can pineapple juice,1 (46 fluid ounce) can grapefruit juice,,,,,,,,,,,1 (8 ounce) jar honey,,,,,2 cups gin,,,,,,,"[""Bee's Knees II""]"
46,2 (46 fluid ounce) cans fruit punch,1 pint sloe gin,,,,,,,,,,,1 pint vodka,,,,,8 cups ice,,,,,,,['Toy Soldiers']
47,1/2 cup cranberry juice,1/2 cup bourbon whiskey,,,,,,,,,,,1 (12 fluid ounce) can or bottle lemon-lime flavored soda,,,,,"ice cubes, as needed",,,,,,,['Cranberry Juice Surprise']
48,1 fluid ounce sweet vermouth,3 fluid ounces bourbon whiskey,,,,,,,,,,,2 dashes bitters,,,,,2 maraschino cherries,,,,,,,"[""Shaggy's Manhattan""]"
49,2 fluid ounces bourbon whiskey,1 fluid ounce lemon juice,,,,,,,,,,,1 teaspoon simple syrup,,,,,"2 cups ice, divided",2 fluid ounces club soda,1 orange slice,1 lemon slice,1 maraschino cherry,,,['The John Collins Cocktail']
50,sugar cube,1 teaspoon water,,,,,,,,,,,1 dash bitters,,,,,2 fluid ounces whiskey (rye or bourbon),1 lemon twist,ice cubes,"1 orange slice, for garnish","1 maraschino cherry, for garnish",,,['Old Fashioned Cocktail']
51,8 mint leaves,1 teaspoon simple syrup,,,,,,,,,,,2 1/2 fluid ounces bourbon whiskey,,,,,"crushed ice, divided",1 sprig fresh mint for garnish,,,,,,['Mint Julep Cocktail']
52,1 (6 ounce) can frozen orange juice concentrate,1 (12 ounce) can frozen lemonade concentrate,,,,,,,,,,,1 (46 fluid ounce) can pineapple juice,,,,,1 1/2 cups white sugar,2 cups strong brewed black tea,2 cups bourbon whiskey,1 (2 liter) bottle lemon-lime flavored carbonated beverage,,,,['Bourbon Slush']
53,2 cups water,2 cups white sugar,,,,,,,,,,,1/2 cup roughly chopped fresh mint leaves,,,,,32 fluid ounces Kentucky bourbon,8 sprigs fresh mint leaves for garnish,,,,,,['Mint Juleps']
54,2 teaspoons simple syrup,1 teaspoon water,,,,,,,,,,,2 dashes bitters,,,,,1 cup ice cubes,1 (1.5 fluid ounce) jigger bourbon whiskey,1 slice orange,1 maraschino cherry,,,,['Classic Old Fashioned']
55,5 (750 milliliter) bottles port wine,1 (750 milliliter) bottle 100 proof bourbon whiskey,1 (6 ounce) package blanched slivered almonds,,,,,,,,,,1 (750 milliliter) bottle white rum,,,,,"3 whole cardamom pods, cracked",1 small cinnamon stick,4 whole cloves,1 (3 inch) strip of orange peel,1 (8 inch) square of cheesecloth,3/4 cup white sugar,1 (15 ounce) package dark raisins,['Old-Fashioned Swedish Glogg']
