	drink_name	ingredient	measurement
1314	Apple Cider Punch #1	cinnamon	3 sticks 
1315	Texas Sling	kahlua	1/2 oz 
1316	Texas Sling	irish cream	1/2 oz 
1317	Texas Sling	amaretto	1/2 oz 
1318	Texas Sling	 proof rum	1/2 oz Bacardi 
1319	Texas Sling	cream	1 oz 
1320	A midsummernight dream	vodka	2 oz 
1321	A midsummernight dream	kirschwasser	1 oz 
1322	A midsummernight dream	 strawberry	1 tsp 
1323	A midsummernight dream	strawberries	5 
1324	A midsummernight dream	schweppes russchian	"
"
1325	Dark and Stormy	dark rum	5 cl
1326	Dark and Stormy	ginger	10 cl
1327	Owen's Grandmother's Revenge	whiskey	12 oz 
1328	Owen's Grandmother's Revenge	beer	12 oz 
1329	Owen's Grandmother's Revenge	lemonade	12 oz frozen 
1330	Owen's Grandmother's Revenge	ice	1 cup crushed 
1331	Sweet Sangria	wine	2 bottles 
1332	Sweet Sangria	sugar	1 cup 
1333	Sweet Sangria	water	2 cups hot 
1334	Sweet Sangria	apple	1 cup 
1335	Sweet Sangria	orange	" wedges
"
1336	Sweet Sangria	lime	" wedges
"
1337	Sweet Sangria	lemon	"
"
1338	Sweet Sangria	fresca	"
"
1339	Cosmopolitan	absolut citron	1 1/4 oz 
1340	Cosmopolitan	lime juice	1/4 oz 
1341	Cosmopolitan	cointreau	1/4 oz 
1342	Cosmopolitan	cranberry juice	1/4 cup 
1343	Hunter's Moon	vermouth	25 ml
1344	Hunter's Moon	 maraschino	15 ml
1345	Hunter's Moon	sugar syrup	10 ml
1346	Hunter's Moon	lemonade	100 ml
1347	Hunter's Moon	blackberries	2
1348	Cherry Electric Lemonade	gin	1 oz
1349	Cherry Electric Lemonade	tequila	1 oz
1350	Cherry Electric Lemonade	vodka	1 oz
1351	Cherry Electric Lemonade	rum	1 oz
1352	Cherry Electric Lemonade	triple sec	1 oz
1353	Cherry Electric Lemonade	grenadine	1 oz
1354	Cherry Electric Lemonade	sweet and sour	1 oz
1355	Cherry Electric Lemonade	club soda	3 oz
1356	Lemon Drop	absolut vodka	1 1/2 shot 
1357	Lemon Drop	cointreau	1 1/2 shot 
1358	Lemon Drop	lemon	Juice of 1 wedge 
1359	New York Lemonade	absolut citron	2 oz 
1360	New York Lemonade	grand marnier	1 oz 
1361	New York Lemonade	lemon	2 oz sweetened 
1362	New York Lemonade	club soda	1 oz 
1363	Pina Colada	light rum	3 oz 
1364	Pina Colada	milk	3 tblsp 
1365	Pina Colada	pineapple	3 tblsp 
1366	Flander's Flake-Out	sambuca	1/4 glass 
1367	Flander's Flake-Out	sarsaparilla	3/4 glass 
1368	Sea breeze	vodka	1 1/2 oz 
1369	Sea breeze	cranberry juice	4 oz 
1370	Sea breeze	grapefruit soda	1 oz 
1371	Orange Whip	orange	4 oz 
1372	Orange Whip	rum	1 oz 
1373	Orange Whip	vodka	1 oz 
1374	Orange Whip	cream	1 package 
1375	Orange Whip	ice	Over 
1376	Lassi - Sweet	yoghurt	1 cup 
1377	Lassi - Sweet	water	2 cups cold 
1378	Lassi - Sweet	sugar	4 tblsp 
1379	Lassi - Sweet	salt	pinch 
1380	Lassi - Sweet	lemon	2 tblsp 
1381	Rum Sour	light rum	2 oz 
1382	Rum Sour	lemon	1 oz 
1383	Rum Sour	sugar	1/2 tsp superfine 
1384	Rum Sour	orange	1 
1385	Rum Sour	 maraschino	1 
1386	Moscow Mule	vodka	2 oz 
1387	Moscow Mule	lime juice	2 oz 
1388	Moscow Mule	ginger	8 oz 
1389	Screwdriver	vodka	2 oz 
1390	Screwdriver	orange	
1391	Rosemary Blue	gin	50 ml
1392	Rosemary Blue	curacao	15 ml
1393	Rosemary Blue	 ice water	100 ml
1394	Rosemary Blue	rosemary	Garnish with
1395	Almond Joy	amaretto	1/2 oz 
1396	Almond Joy	creme de cacao	1/2 oz white 
1397	Almond Joy	light rum	2 oz 
1398	Avalon	vodka	3 parts
1399	Avalon	pisang ambon	1 part 
1400	Avalon	apple	6 parts 
1401	Avalon	lemon	1 1/2 part 
1402	Avalon	lemonade	"
"
1403	The Jimmy Conway	whiskey	50 ml
1404	The Jimmy Conway	amaretto	50 ml
1405	The Jimmy Conway	cranberry juice	4 oz
1406	Kool-Aid Shot	vodka	1 shot 
1407	Kool-Aid Shot	amaretto	1 shot 
1408	Kool-Aid Shot	sloe gin	1 shot 
1409	Kool-Aid Shot	triple sec	1 shot 
1410	Kool-Aid Shot	cranberry juice	"
"
1411	Kiwi Lemon	kiwi	1 part 
1412	Kiwi Lemon	bitter lemon	2 parts 
1413	Kiwi Lemon	ice	" cubes
"
1414	Absolut Evergreen	absolut citron	2/3 part 
1415	Absolut Evergreen	pisang ambon	1/3 part 
1416	Absolut Evergreen	ice	" cubes
"
1417	Absolut Evergreen	bitter lemon	"
"
1418	Iced Coffee	coffee	1/4 cup instant 
1419	Iced Coffee	sugar	1/4 cup 
1420	Iced Coffee	water	1/4 cup hot 
1421	Iced Coffee	milk	4 cups cold 
1422	"French ""75"""	gin	1 1/2 oz 
1423	"French ""75"""	sugar	2 tsp superfine 
1424	"French ""75"""	lemon	1 1/2 oz 
1425	"French ""75"""	champagne	4 oz Chilled 
1426	"French ""75"""	orange	1 
1427	"French ""75"""	 maraschino	1 
1428	Spanish chocolate	milk	2 cups 
1429	Spanish chocolate	chocolate	2 oz sweet 
1430	Spanish chocolate	cinnamon	1/2 tsp 
1431	Spanish chocolate	egg yolk	2 beaten 
1432	Wine Cooler	wine	2 oz white or 
1433	Wine Cooler	lemonlime soda	5 oz 
1434	Wine Cooler	ice	" cubes
"
1435	Scooter	brandy	1 oz 
1436	Scooter	amaretto	1 oz 
1437	Scooter	light rum	1 oz 
1438	Quick F**K	kahlua	1 part 
1439	Quick F**K	midori melon liqueur	1 part 
1440	Quick F**K	baileys irish cream	1 part 
1441	Vodka Fizz	vodka	2 oz 
1442	Vodka Fizz	halfandhalf	2 oz 
1443	Vodka Fizz	limeade	2 oz 
1444	Vodka Fizz	ice	"
"
1445	Vodka Fizz	nutmeg	"
"
1446	Long vodka	vodka	5 cl 
1447	Long vodka	lime	1/2 
1448	Long vodka	angostura bitters	4 dashes 
1449	Long vodka	 ice water	1 dl Schweppes 
1450	Long vodka	ice	4 
1451	Kurant Tea	absolut kurant	4 cl 
1452	Kurant Tea	tea	Turkish apple 
1453	Kurant Tea	sugar	" (if needed)
"
1454	Tia-Maria	water	1 cup 
1455	Tia-Maria	brown sugar	3/4-1 cup 
1456	Tia-Maria	coffee	4 tsp 
1457	Tia-Maria	rum	1 cup 
1458	Tia-Maria	vanilla	4 tsp 
1459	White Russian	vodka	2 oz 
1460	White Russian	coffee liqueur	1 oz 
1461	White Russian	light rum	"
"
1462	Irish Spring	whiskey	1 oz 
1463	Irish Spring	brandy	1/2 oz 
1464	Irish Spring	orange	1 oz 
1465	Irish Spring	sweet and sour	1 oz 
1466	Irish Spring	orange	1 slice 
1467	Irish Spring	cherry	1 
1468	Mulled Wine	water	3 cups 
1469	Mulled Wine	sugar	1 cup 
1470	Mulled Wine	cloves	12 
1471	Mulled Wine	cinnamon	2 
1472	Mulled Wine	lemon peel	1 
1473	Mulled Wine	wine	750 ml 
1474	Mulled Wine	brandy	1/4 cup 
1475	Pysch Vitamin Light	orange	1 part 
1476	Pysch Vitamin Light	apple	1 part 
1477	Pysch Vitamin Light	pineapple	1 part 
1478	Pysch Vitamin Light	ice	"
"
1479	Paloma	grape soda	3 oz
1480	Paloma	tequila	1 1/2 oz
1481	The Laverstoke	gin	50 ml
1482	The Laverstoke	elderflower cordial	15 ml
1483	The Laverstoke	rosso vermouth	15 ml
1484	The Laverstoke	 ice water	75 ml
1485	The Laverstoke	lime	2 Wedges
1486	The Laverstoke	ginger	1 Slice
1487	The Laverstoke	mint	1 Large Sprig
1488	Boxcar	gin	1 1/2 oz 
1489	Boxcar	triple sec	1 oz 
1490	Boxcar	lemon	1 tsp 
1491	Boxcar	grenadine	1/2 tsp 
1492	Boxcar	egg white	1 
1493	Tequila Fizz	tequila	2 oz 
1494	Tequila Fizz	lemon	1 tblsp 
1495	Tequila Fizz	grenadine	3/4 oz 
1496	Tequila Fizz	egg white	1 
1497	Tequila Fizz	ginger	"
"
1498	Sunny Holiday Punch	pineapple	46 oz chilled 
1499	Sunny Holiday Punch	club soda	28 oz 
1500	Sunny Holiday Punch	orange	6 oz frozen 
1501	Sunny Holiday Punch	lemon	1 
1502	Sunny Holiday Punch	berries	2 cups 
1503	Sunny Holiday Punch	champagne	1 bottle 
1504	Sidecar	cognac	2 oz 
1505	Sidecar	cointreau	1/2 oz 
1506	Sidecar	lemon	1 oz 
1507	Black Russian	coffee liqueur	3/4 oz 
1508	Black Russian	vodka	1 1/2 oz 
1509	Autodafé	vodka	4 cl 
1510	Autodafé	lime juice	1 dash 
1511	Autodafé	soda water	"
"
1512	Green Goblin	cider	1/2 pint hard 
1513	Green Goblin	lager	1/2 pint 
1514	Green Goblin	curacao	1 shot 
1515	Kill the cold Smoothie	ginger	1 inch 
1516	Kill the cold Smoothie	lemon	1/4 
1517	Kill the cold Smoothie	water	1 cup hot 
1518	Brigadier	chocolate	4 oz
1519	Brigadier	 chartreuse	1 oz
1520	Brigadier	cherry heering	1 oz
1521	John Collins	bourbon	2 oz 
1522	John Collins	lemon	1 oz 
1523	John Collins	sugar	1 tsp superfine 
1524	John Collins	club soda	3 oz 
1525	John Collins	 maraschino	1 
1526	John Collins	orange	1 
1527	Tuxedo Cocktail	vermouth	1 1/2 oz 
1528	Tuxedo Cocktail	gin	1 1/2 oz 
1529	Tuxedo Cocktail	maraschino liqueur	1/4 tsp 
1530	Tuxedo Cocktail	anis	1/4 tsp 
1531	Tuxedo Cocktail	orange bitters	2 dashes 
1532	Tuxedo Cocktail	cherry	1 
1533	Monkey Wrench	light rum	1 1/2 oz 
1534	Monkey Wrench	grapefruit soda	3 oz 
1535	Monkey Wrench	butter	1 dash 
1536	Pink Gin	butter	3 dashes 
1537	Pink Gin	gin	2 oz 
1538	Gin Squirt	gin	1 1/2 oz 
1539	Gin Squirt	grenadine	1 tsp 
1540	Gin Squirt	powdered sugar	1 tblsp 
1541	Gin Squirt	pineapple	3 chunks 
1542	Gin Squirt	strawberries	2 
1543	Gin Squirt	water	"
"
1544	Mudslinger	southern comfort	750 ml 
1545	Mudslinger	orange	1 L 
1546	Mudslinger	 cola	750 ml 
1547	Jello shots	vodka	2 cups 
1548	Jello shots	jello	3 packages 
1549	Jello shots	water	3 cups 
1550	Apello	orange	4 cl 
1551	Apello	grapefruit soda	3 cl 
1552	Apello	apple	1 cl 
1553	Apello	 maraschino	1 
1554	A Day at the Beach	coconut rum	1 oz 
1555	A Day at the Beach	amaretto	1/2 oz 
1556	A Day at the Beach	orange	4 oz 
1557	A Day at the Beach	grenadine	1/2 oz 
1558	Dubonnet Cocktail	 dubonnet	1 1/2 oz 
1559	Dubonnet Cocktail	gin	3/4 oz 
1560	Dubonnet Cocktail	butter	1 dash 
1561	Dubonnet Cocktail	lemon peel	1 twist of 
1562	Bramble	gin	4 cl
1563	Bramble	lemon	1.5 cl
1564	Bramble	sugar syrup	1 cl
1565	Bramble	creme de mure	1.5 cl
1566	Veteran	dark rum	2 oz 
1567	Veteran	cherry brandy	1/2 oz 
1568	Angelica Liqueur	angelica root	3 tblsp chopped
1569	Angelica Liqueur	almond	1 tblsp chopped 
1570	Angelica Liqueur	allspice	1 cracked 
1571	Angelica Liqueur	cinnamon	1 one-inch 
1572	Angelica Liqueur	anis	3-6 crushed 
1573	Angelica Liqueur	coriander	1/8 tsp powdered 
1574	Angelica Liqueur	marjoram leaves	1 tblsp fresh chopped 
1575	Angelica Liqueur	vodka	1.5 cup 
1576	Arthur Tompkins	gin	2 oz 
1577	Arthur Tompkins	grand marnier	1/2 oz 
1578	Arthur Tompkins	lemon	2 tsp 
1579	Arthur Tompkins	lemon peel	1 twist of 
1580	Margarita	tequila	1 1/2 oz 
1581	Margarita	triple sec	1/2 oz 
1582	Margarita	lime juice	1 oz 
1583	Margarita	salt	
1584	Wine Punch	wine	1 bottle 
1585	Wine Punch	lemon	2 
1586	Wine Punch	orange	1 cup 
1587	Wine Punch	orange	3 
1588	Wine Punch	pineapple	1 cup 
1589	Alabama Slammer	southern comfort	1 oz 
1590	Alabama Slammer	amaretto	1 oz 
1591	Alabama Slammer	sloe gin	1/2 oz 
1592	Alabama Slammer	lemon	1 dash 
1593	Boston Sour	blended whiskey	2 oz 
1594	Boston Sour	lemon	Juice of 1/2 
1595	Boston Sour	powdered sugar	1 tsp 
1596	Boston Sour	egg white	1 
1597	Boston Sour	lemon	1 slice 
1598	Boston Sour	cherry	1 
1599	Derby	gin	6 cl
1600	Derby	peach bitters	2 dashes
1601	Derby	mint	2 Fresh leaves
1602	Ace	gin	2 shots 
1603	Ace	grenadine	1/2 shot 
1604	Ace	heavy cream	1/2 shot 
1605	Ace	milk	1/2 shot 
1606	Ace	egg white	1/2 Fresh
1607	Manhattan	vermouth	3/4 oz 
1608	Manhattan	bourbon	2 1/2 oz Blended 
1609	Manhattan	angostura bitters	dash 
1610	Manhattan	ice	2 or 3 
1611	Manhattan	 maraschino	1 
1612	Manhattan	orange peel	1 twist of 
1613	Pink Panty Pulldowns	sprite	1 L 
1614	Pink Panty Pulldowns	lemonade	2 cups 
1615	Pink Panty Pulldowns	vodka	2 cups 
1616	Lone Tree Cocktail	vermouth	3/4 oz 
1617	Lone Tree Cocktail	gin	1 1/2 oz 
1618	Royal Gin Fizz	gin	2 oz 
1619	Royal Gin Fizz	lemon	Juice of 1/2 
1620	Royal Gin Fizz	powdered sugar	1 tsp 
1621	Royal Gin Fizz	egg	1 whole 
1622	Royal Gin Fizz	water	"
"
1623	Kool First Aid	 proof rum	2 oz light 
1624	Kool First Aid	koolaid	1/2 tsp Tropical 
1625	Thai Iced Coffee	coffee	black
1626	Thai Iced Coffee	sugar	"
"
1627	Thai Iced Coffee	cream	" pods
"
1628	Thai Iced Coffee	cardamom	"
"
1629	Jamaica Kiss	coffee liqueur	1 shot 
1630	Jamaica Kiss	light rum	1 shot Jamaican 
1631	Jamaica Kiss	ice	" cubes
"
1632	Jamaica Kiss	milk	"
"
1633	Greyhound	vodka	1 1/2 oz
1634	Greyhound	grapefruit soda	3 oz
1635	Long Island Iced Tea	vodka	1/2 oz 
1636	Long Island Iced Tea	tequila	1/2 oz 
1637	Long Island Iced Tea	light rum	1/2 oz 
1638	Long Island Iced Tea	gin	1/2 oz 
1639	Long Island Iced Tea	cocacola	1 dash 
1640	Long Island Iced Tea	lemon peel	Twist of 
1641	Arctic Fish	vodka	1/3 part 
1642	Arctic Fish	grape soda	1/3 part 
1643	Arctic Fish	orange	1/3 part 
1644	Arctic Fish	ice	lots 
1645	Arctic Fish	candy	1 dash 
1646	Bahama Mama	rum	3 parts
1647	Bahama Mama	dark rum	1 part
1648	Bahama Mama	banana	1 part
1649	Bahama Mama	grenadine	1 part
1650	Bahama Mama	pineapple	2 parts
1651	Bahama Mama	orange	2 parts
1652	Bahama Mama	sweet and sour	1 part
1653	Port Wine Cocktail	port	2 1/2 oz 
1654	Port Wine Cocktail	brandy	1/2 tsp 
1655	Waikiki Beachcomber	triple sec	3/4 oz 
1656	Waikiki Beachcomber	gin	3/4 oz 
1657	Waikiki Beachcomber	pineapple	1 tblsp 
1658	Alice Cocktail	grenadine	1 cl 
1659	Alice Cocktail	orange	1 cl 
1660	Alice Cocktail	pineapple	2 cl 
1661	Alice Cocktail	cream	4 cl 
1662	24k nightmare	goldschlager	1/2 oz 
1663	24k nightmare	jgermeister	1/2 oz 
1664	24k nightmare	rumple mine	1/2 oz 
1665	24k nightmare	 proof rum	1/2 oz Bacardi 
1666	Long Island Tea	vodka	1/2 oz 
1667	Long Island Tea	light rum	1/2 oz 
1668	Long Island Tea	gin	1/2 oz 
1669	Long Island Tea	tequila	1/2 oz 
1670	Long Island Tea	lemon	Juice of 1/2 
1671	Long Island Tea	cocacola	1 splash 
1672	Porto flip	brandy	3 parts
1673	Porto flip	port	9 parts
1674	Porto flip	egg yolk	2 parts
1675	Bleeding Surgeon	dark rum	1 shot 
1676	Bleeding Surgeon	orange	1 slice 
1677	Bleeding Surgeon	 sue	1/2 glass 
1678	Bleeding Surgeon	cranberry juice	1/2 glass 
1679	Alexander	gin	1/2 oz 
1680	Alexander	creme de cacao	1/2 oz white 
1681	Alexander	light rum	2 oz 
1682	Alexander	nutmeg	
1683	Turf Cocktail	vermouth	1 oz 
1684	Turf Cocktail	gin	1 oz 
1685	Turf Cocktail	anis	1/4 tsp 
1686	Turf Cocktail	butter	2 dashes 
1687	Turf Cocktail	orange peel	Twist of 
1688	Citrus Coke	bacardi limon	1 part 
1689	Citrus Coke	cocacola	2 parts 
1690	Bijou	orange bitters	1 dash
1691	Bijou	 chartreuse	1 oz
1692	Bijou	gin	1 oz
1693	Bijou	vermouth	1 oz
1694	Spiced Peach Punch	peach nectar	46 oz 
1695	Spiced Peach Punch	orange	20 oz 
1696	Spiced Peach Punch	brown sugar	1/2 cup 
1697	Spiced Peach Punch	cinnamon	3 3-inch 
1698	Spiced Peach Punch	cloves	1/2 tsp 
1699	Spiced Peach Punch	lime juice	2 tblsp 
1700	Cherry Rum	light rum	1 1/4 oz 
1701	Cherry Rum	cherry brandy	1 1/2 tsp 
1702	Cherry Rum	light rum	1 tblsp 
1703	Shark Attack	lemonade	1 can 
1704	Shark Attack	water	3 cans 
1705	Shark Attack	vodka	1 1/2 cup 
1706	Texas Rattlesnake	yukon jack	1 part 
1707	Texas Rattlesnake	cherry brandy	1/2 part 
1708	Texas Rattlesnake	southern comfort	1 part 
1709	Texas Rattlesnake	sweet and sour	1 splash 
1710	Jam Donut	baileys irish cream	2/3 oz
1711	Jam Donut	 chambord	1/3 oz
1712	Jam Donut	sugar syrup	1 tsp
1713	Jam Donut	sugar	2 pinches
1714	Grim Reaper	kahlua	1 oz 
1715	Grim Reaper	 proof rum	1 oz Bacardi 
1716	Grim Reaper	grenadine	1 dash 
1717	Herbal flame	hot damn	5 shots 
1718	Herbal flame	tea	very sweet 
1719	Cuba Libre	light rum	2 oz 
1720	Cuba Libre	lime	Juice of 1/2 
1721	Cuba Libre	cocacola	
1722	Amaretto Stone Sour #3	sour mix	2 oz 
1723	Amaretto Stone Sour #3	amaretto	2 oz 
1724	Amaretto Stone Sour #3	tequila	2 oz 
1725	Amaretto Stone Sour #3	orange	Add splash 
1726	After Five	peppermint schnapps	"
"
1727	After Five	kahlua	"
"
1728	After Five	baileys irish cream	"
"
1729	California Lemonade	blended whiskey	2 oz 
1730	California Lemonade	lemon	Juice of 1 
1731	California Lemonade	lime	Juice of 1 
1732	California Lemonade	powdered sugar	1 tblsp 
1733	California Lemonade	grenadine	1/4 tsp 
1734	California Lemonade	water	"
"
1735	A1	gin	1 3/4 shot 
1736	A1	grand marnier	1 Shot 
1737	A1	lemon	1/4 Shot
1738	A1	grenadine	1/8 Shot
1739	Strawberry Shivers	strawberries	1 1/2 cup 
1740	Strawberry Shivers	honey	4 tsp 
1741	Strawberry Shivers	water	1/2 cup 
1742	Karsk	coffee	1 part 
1743	Karsk	grain alcohol	2 parts 
1744	Mojito #3	mint	1/2 handful 
1745	Mojito #3	lemon	3 cl 
1746	Mojito #3	dark rum	1/8 L Jamaican 
1747	Mojito #3	club soda	1/8 L 
1748	Mojito #3	angostura bitters	8 drops 
1749	Havana Cocktail	light rum	1 oz 
1750	Havana Cocktail	pineapple	1 oz 
1751	Havana Cocktail	lemon	1 tsp 
1752	Gin Smash	gin	2 oz 
1753	Gin Smash	water	1 oz 
1754	Gin Smash	sugar	1 cube 
1755	Gin Smash	mint	4 
1756	Gin Smash	orange	1 slice 
1757	Gin Smash	cherry	1 
1758	Banana Strawberry Shake Daiquiri-type	strawberries	1/2 lb frozen 
1759	Banana Strawberry Shake Daiquiri-type	banana	1 frozen 
1760	Banana Strawberry Shake Daiquiri-type	apple	2 cups fresh 
1761	Martini	gin	1 2/3 oz 
1762	Martini	vermouth	1/3 oz 
1763	Martini	olive	1 
1764	Arizona Twister	vodka	1 shot 
1765	Arizona Twister	 ml rum	1 shot 
1766	Arizona Twister	tequila	1 shot 
1767	Arizona Twister	orange	1 splash 
1768	Arizona Twister	pineapple	1 splash 
1769	Arizona Twister	coconut rum	1 splash 
1770	Arizona Twister	grenadine	1 dash 
1771	Arizona Twister	ice	crushed 
1772	Bombay Cassis	gin	50 ml
1773	Bombay Cassis	creme de cassis	20 ml
1774	Bombay Cassis	e juice	15 ml
1775	Bombay Cassis	ginger	75 ml
1776	Bombay Cassis	lime	1
1777	Bombay Cassis	ginger	1 long strip
1778	Mai Tai	light rum	1 oz 
1779	Mai Tai	orgeat syrup	1/2 oz 
1780	Mai Tai	triple sec	1/2 oz 
1781	Mai Tai	sweet and sour	1 1/2 oz 
1782	Mai Tai	cherry	1 
1783	Amaretto Mist	amaretto	1 1/2 oz 
1784	Amaretto Mist	lime	1 
1785	Scottish Highland Liqueur	johnnie walker	1 fifth 
1786	Scottish Highland Liqueur	honey	1 1/2 cup mild 
1787	Scottish Highland Liqueur	angelica root	2 tsp dried and chopped 
1788	Scottish Highland Liqueur	fennel seeds	1/4 tsp crushed 
1789	Scottish Highland Liqueur	lemon peel	2 2 inch strips 
1790	Grand Blue	 ml rum	1 1/2 cl 
1791	Grand Blue	peach schnapps	1 1/2 cl 
1792	Grand Blue	curacao	1 1/2 cl 
1793	Grand Blue	sweet and sour	3 cl 
1794	Kioki Coffee	kahlua	1 oz 
1795	Kioki Coffee	brandy	1/2 oz 
1796	Kioki Coffee	coffee	"
"
1797	Damned if you do	whiskey	0.75 oz 
1798	Damned if you do	hot damn	0.25 oz 
1799	Iced Coffee Fillip	kahlua	2 tsp 
1800	Iced Coffee Fillip	coffee	Strong cold 
1801	Butter Baby	vanilla icecream	2 scoops 
1802	Butter Baby	butterscotch schnapps	1 part 
1803	Butter Baby	milk	full glass 
1804	Butter Baby	vodka	2 parts 
1805	Bellini	champagne	6 oz 
1806	Bellini	peach schnapps	1 oz 
1807	Jack's Vanilla Coke	ice	4-5 
1808	Jack's Vanilla Coke	tennessee whiskey	2 oz 
1809	Jack's Vanilla Coke	vanilla	1 tsp 
1810	Jack's Vanilla Coke	cocacola	10-12 oz 
1811	Mary Pickford	light rum	1 1/2 oz 
1812	Mary Pickford	pineapple	1 oz 
1813	Mary Pickford	maraschino liqueur	1/2 tsp 
1814	Mary Pickford	grenadine	1/2 tsp 
1815	Mary Pickford	 maraschino	1 
1816	Flaming Lamborghini	kahlua	1 oz 
1817	Flaming Lamborghini	sambuca	1 oz 
1818	Flaming Lamborghini	curacao	1 oz 
1819	Flaming Lamborghini	baileys irish cream	1 oz 
1820	Thriller	scotch	1 1/2 oz 
1821	Thriller	wine	1 oz Green Ginger 
1822	Thriller	orange	1 oz 
1823	Moranguito	absinthe	2/5 
1824	Moranguito	tequila	2/5 
1825	Moranguito	grenadine	1/5 
1826	ABC	amaretto	1/3 
1827	ABC	baileys irish cream	1/3 
1828	ABC	cognac	1/3 
1829	Orangeade	lemon	5 cl 
1830	Orangeade	orange	15 cl 
1831	Orangeade	sugar syrup	2-3 cl 
1832	Orangeade	soda water	"
"
1833	Adonis Cocktail	vermouth	3/4 oz 
1834	Adonis Cocktail	cherry	1 1/2 oz dry 
1835	Adonis Cocktail	orange bitters	1 dash 
1836	Coffee Liqueur	coffee	10 tblsp instant 
1837	Coffee Liqueur	vanilla	4 tblsp 
1838	Coffee Liqueur	sugar	2 1/2 cups 
1839	Coffee Liqueur	vodka	1 qt 
1840	Coffee Liqueur	water	2 1/2 cups 
1841	Atlantic Sun	vodka	2 cl Smirnoff 
1842	Atlantic Sun	southern comfort	2 cl 
1843	Atlantic Sun	passion fruit syrup	2 cl 
1844	Atlantic Sun	sweet and sour	6 cl 
1845	Atlantic Sun	club soda	1 dash 
1846	Quarter Deck Cocktail	light rum	1 1/2 
1847	Quarter Deck Cocktail	cherry	1/3 oz cream 
1848	Quarter Deck Cocktail	lime	Juice of 1/2 
1849	Zambeer	sambuca	1 1/2 oz 
1850	Zambeer	root beer	Add 10 oz 
1851	Zambeer	ice	" cubes
"
1852	Rose	vermouth	1/2 oz 
1853	Rose	gin	1 oz 
1854	Rose	apricot	1/2 oz 
1855	Rose	lemon	1/2 tsp 
1856	Rose	grenadine	1 tsp 
1857	Rose	powdered sugar	
1858	Arizona Antifreeze	vodka	1/3 oz 
1859	Arizona Antifreeze	midori melon liqueur	1/3 oz 
1860	Arizona Antifreeze	sweet and sour	1/3 oz 
1861	Mimosa	champagne	Chilled 
1862	Mimosa	orange	2 oz 
1863	Negroni	gin	1 oz 
1864	Negroni	campari	1 oz 
1865	Negroni	vermouth	1 oz 
1866	Holloween Punch	grape juice	"
"
1867	Holloween Punch	carbonated soft drink	", orange
"
1868	Holloween Punch	sherbet	 
1869	Holloween Punch	sherbet	 
1870	A Night In Old Mandalay	light rum	1 oz 
1871	A Night In Old Mandalay	aejo rum	1 oz 
1872	A Night In Old Mandalay	orange	1 oz 
1873	A Night In Old Mandalay	lemon	1/2 oz 
1874	A Night In Old Mandalay	ginger	3 oz 
1875	A Night In Old Mandalay	lemon peel	1 twist of 
1876	Amaretto Stinger	amaretto	1 1/2 oz 
1877	Amaretto Stinger	creme de mure	3/4 oz 
1878	Whisky Mac	scotch	1 1/2 oz 
1879	Whisky Mac	wine	1 oz Green Ginger 
1880	Lady Love Fizz	gin	2 oz 
1881	Lady Love Fizz	light rum	2 tsp 
1882	Lady Love Fizz	powdered sugar	1 tsp 
1883	Lady Love Fizz	lemon	Juice of 1/2 
1884	Lady Love Fizz	egg white	1 
1885	Lady Love Fizz	water	"
"
1886	Royal Flush	crown royal	1 1/2 oz 
1887	Royal Flush	peach schnapps	1 oz 
1888	Royal Flush	 chambord	1/2 oz 
1889	Royal Flush	cranberry juice	1 oz 
1890	Irish Russian	vodka	1 shot 
1891	Irish Russian	kahlua	1 shot 
1892	Irish Russian	cocacola	1 dash 
1893	Irish Russian	guinness stout	Fill with 
1894	Corpse Reviver #2	gin	3/4 oz
1895	Corpse Reviver #2	triple sec	3/4 oz
1896	Corpse Reviver #2	 lillet	3/4 oz
1897	Corpse Reviver #2	lemon	3/4 oz
1898	Corpse Reviver #2	absinthe	1 dash
1899	Algonquin	blended whiskey	1 1/2 oz 
1900	Algonquin	vermouth	1 oz 
1901	Algonquin	pineapple	1 oz 
1902	Victor	gin	1 1/2 oz 
1903	Victor	vermouth	1/2 oz 
1904	Victor	brandy	1/2 oz 
1905	1-900-FUK-MEUP	absolut kurant	1/2 oz 
1906	1-900-FUK-MEUP	grand marnier	1/4 oz 
1907	1-900-FUK-MEUP	 chambord	1/4 oz 
1908	1-900-FUK-MEUP	midori melon liqueur	1/4 oz 
1909	1-900-FUK-MEUP	 ml rum	1/4 oz 
1910	1-900-FUK-MEUP	amaretto	1/4 oz 
1911	1-900-FUK-MEUP	cranberry juice	1/2 oz 
1912	1-900-FUK-MEUP	pineapple	1/4 oz 
1913	A Piece of Ass	amaretto	1 shot 
1914	A Piece of Ass	southern comfort	1 shot 
1915	A Piece of Ass	ice	" cubes
"
1916	A Piece of Ass	sour mix	"
"
1917	Rum Cooler	rum	2 oz light or dark 
1918	Rum Cooler	lemonlime soda	4 oz 
1919	Rum Cooler	lemon	1 
1920	Americano	campari	1 oz 
1921	Americano	vermouth	1 oz red 
1922	Americano	lemon peel	Twist of 
1923	Americano	orange peel	Twist of 
1924	Russian Spring Punch	vodka	2.5 cl
1925	Russian Spring Punch	creme de cassis	1.5 cl
1926	Russian Spring Punch	sugar syrup	1 cl
1927	Russian Spring Punch	lemon	2.5 cl
1928	Tennesee Mud	coffee	8 oz 
