	drink_name	ingredient	measurement
130	The Perfect Mai Tai	maple syrup	1 cup
131	The Perfect Mai Tai	lime juice	10
132	The Perfect Mai Tai	orange	1/2
133	Pina Colada Punch	cream	1/2
134	Pina Colada Punch	pineapple	1 (20 ounce) can
135	Pina Colada Punch	coconut rum	1 (8 ounce) can
136	Pina Colada Punch	pineapple	1 (46 fluid ounce) can
137	Pina Colada Punch	light rum	2 cups
138	Pina Colada Punch	 colaflavored carbonated beverage	1 (2 liter) bottle
139	RumSpiked Horchata	 uncooked long grain rice	1 cup
140	RumSpiked Horchata	 quart water	2
141	RumSpiked Horchata	cinnamon	1/2 teaspoon
142	RumSpiked Horchata	milk	1 1/4 cups
143	RumSpiked Horchata	condensed milk	1 (14 ounce) can
144	RumSpiked Horchata	vanilla	1 teaspoon
145	RumSpiked Horchata	 or to taste	1/4 cup
146	RumSpiked Horchata	 cubes	16
147	Mrs Baxtons Long Island Iced Tea	vodka	1 fluid ounce
148	Mrs Baxtons Long Island Iced Tea	tequila	1 fluid ounce
149	Mrs Baxtons Long Island Iced Tea	rum	1 fluid ounce
150	Mrs Baxtons Long Island Iced Tea	gin	1 fluid ounce
151	Mrs Baxtons Long Island Iced Tea	triple sec	1 fluid ounce
152	Mrs Baxtons Long Island Iced Tea	sour mix	5 fluid ounces
153	Mrs Baxtons Long Island Iced Tea	 cola	2 fluid ounces
154	Mrs Baxtons Long Island Iced Tea	lime wedge	1
155	Hurricane I	melon liqueur	1 (1.5 fluid ounce) jigger
156	Hurricane I	light rum	1 fluid ounce
157	Hurricane I	dark rum	1 fluid ounce
158	Hurricane I	orange	6 fluid ounces
159	Hurricane I	pineapple	6 fluid ounces
160	Hurricane I	lemon	1 teaspoon
161	Hurricane I	grenadine	1 dash
162	Hurricane I	 lime sliced into rounds	1
163	Hurricane I	 maraschino	1
164	Big Kevs Texas Style Long Island Iced Tea	vodka	1 fluid ounce
165	Big Kevs Texas Style Long Island Iced Tea	gin	1 fluid ounce
166	Big Kevs Texas Style Long Island Iced Tea	 triple sec liqueur	1 fluid ounce
167	Big Kevs Texas Style Long Island Iced Tea	rum	1 fluid ounce
168	Big Kevs Texas Style Long Island Iced Tea	tequila	1 fluid ounce
169	Big Kevs Texas Style Long Island Iced Tea	 colaflavored carbonated beverage	1 (12 fluid ounce) can or bottle
170	Big Kevs Texas Style Long Island Iced Tea	lime wedge	1
171	Big Kevs Texas Style Long Island Iced Tea	lime wedge	1
172	Shaggys Perfect Martini	vermouth	1/2 fluid ounce
173	Shaggys Perfect Martini	gin	4 fluid ounces
174	Shaggys Perfect Martini	 green olives	2
175	Tom Collins	gin	2 fluid ounces
176	Tom Collins	lemon	2 fluid ounces
177	Tom Collins	maple syrup	1 fluid ounce
178	Tom Collins	butter	1 dash
179	Tom Collins	 cubes	1 cup
180	Tom Collins	club soda	1/4 cup
181	Tom Collins	 slice fresh lemon	1
182	Tom Collins	 maraschino	1
183	StrawberryGin Cocktail	 strawberry	1
184	StrawberryGin Cocktail	 fresh sage leaves	2
185	StrawberryGin Cocktail	sugar	2 teaspoons
186	StrawberryGin Cocktail	 cubes	
187	StrawberryGin Cocktail	gin	2 fluid ounces
188	StrawberryGin Cocktail	e juice	1 fluid ounce
189	StrawberryGin Cocktail	club soda	3 fluid ounces
190	Gin Slush	water	9 cups
191	Gin Slush	sugar	2 cups
192	Gin Slush	n concentrate	1 (12 fluid ounce) can
193	Gin Slush	n concentrate	1 (12 fluid ounce) can
194	Gin Slush	gin	2 cups
195	Froen Summer Slush	sugar	2 cups
196	Froen Summer Slush	water	7 cups
197	Froen Summer Slush	tea	4
198	Froen Summer Slush	 boiling water	2 cups
199	Froen Summer Slush	n concentrate	1 (12 fluid ounce) can
200	Froen Summer Slush	n concentrate	1 (12 fluid ounce) can
201	Froen Summer Slush	gin	2 cups
202	The REAL Long Island Iced Tea	vodka	1/2 fluid ounce
203	The REAL Long Island Iced Tea	rum	1/2 fluid ounce
204	The REAL Long Island Iced Tea	gin	1/2 fluid ounce
205	The REAL Long Island Iced Tea	tequila	1/2 fluid ounce
206	The REAL Long Island Iced Tea	 triple sec liqueur	1/2 fluid ounce
207	The REAL Long Island Iced Tea	sour mix	1 fluid ounce
208	The REAL Long Island Iced Tea	 or to taste	1 fluid ounce
209	The REAL Long Island Iced Tea	lemon	1
210	Gin and Tonic	 cubes	4
211	Gin and Tonic	gin	2 fluid ounces
212	Gin and Tonic	 ice water	4 fluid ounces
213	Gin and Tonic	e juice	1 tablespoon
214	Gin and Tonic	lime wedge	1
215	Earl Grey Martini	 earl grey tea leaves	1 teaspoon
216	Earl Grey Martini	gin	2 (1.5 fluid ounce) jiggers
217	Earl Grey Martini	white sugar for rimming	
218	Earl Grey Martini	lime wedge	1
219	Earl Grey Martini	e juice	1 (1.5 fluid ounce) jigger
220	Earl Grey Martini	maple syrup	2 fluid ounces
221	Long Island Iced Tea	vodka	1 (1.5 fluid ounce) jigger
222	Long Island Iced Tea	gin	1 (1.5 fluid ounce) jigger
223	Long Island Iced Tea	rum	1 (1.5 fluid ounce) jigger
224	Long Island Iced Tea	 triple sec liqueur	1 (1.5 fluid ounce) jigger
225	Long Island Iced Tea	tequila	1 teaspoon
226	Long Island Iced Tea	orange	2 teaspoons
227	Long Island Iced Tea	 colaflavored carbonated beverage	2 fluid ounces
228	Long Island Iced Tea	lime wedge	1
229	Blue Motorcycle	 cubes	2 cups
230	Blue Motorcycle	vodka	1/2 (1.5 fluid ounce) jigger
231	Blue Motorcycle	tequila	1/2 (1.5 fluid ounce) jigger
232	Blue Motorcycle	rum	1/2 (1.5 fluid ounce) jigger
233	Blue Motorcycle	gin	1/2 (1.5 fluid ounce) jigger
234	Blue Motorcycle	curacao	1/2 (1.5 fluid ounce) jigger
235	Blue Motorcycle	sour mix	1 dash
236	Blue Motorcycle	 colaflavored carbonated beverage	2 fluid ounces
237	Blue Motorcycle	 slice fresh lemon	1
238	Pink Panties	lemonade	1 (12 fluid ounce) can
239	Pink Panties	gin	12 fluid ounces
240	Pink Panties	cream	1/2 cup
241	Pink Panties	strawberries	1/2 cup
242	Pink Panties	ice	1 cup
243	Baltimore Zoo	 cubes	
244	Baltimore Zoo	 silver tequila	1/2 fluid ounce
245	Baltimore Zoo	gin	1/2 fluid ounce
246	Baltimore Zoo	rum	1/2 fluid ounce
247	Baltimore Zoo	vodka	1/2 fluid ounce
248	Baltimore Zoo	triple sec	1/2 fluid ounce
249	Baltimore Zoo	orange	3 fluid ounces
250	Baltimore Zoo	grenadine	3 fluid ounces
251	Baltimore Zoo	beer	4 fluid ounces
252	Genes Long Island Iced Tea	vodka	1 fluid ounce
253	Genes Long Island Iced Tea	gin	1 fluid ounce
254	Genes Long Island Iced Tea	 triple sec liqueur	1 fluid ounce
255	Genes Long Island Iced Tea	rum	1 fluid ounce
256	Genes Long Island Iced Tea	 colaflavored carbonated beverage	1 (12 fluid ounce) can or bottle
